Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","1.2217"
"0.0200","0.0001","0.5843"
"0.0400","0.0002","2.0229"
"0.0600","0.0009","2.1902"
"0.0800","0.0007","1.2324"
"0.1000","0.0008","0.6401"
"0.1200","0.0009","0.7088"
"0.1400","0.0014","1.2869"
"0.1600","0.0031","2.1264"
"0.1800","0.0052","1.7170"
"0.2000","0.0068","1.4084"
"0.2200","0.0080","0.3649"
"0.2400","0.0092","1.0251"
"0.2600","0.0105","0.9673"
"0.2800","0.0116","0.8703"
"0.3000","0.0127","1.2192"
"0.3200","0.0137","1.4264"
"0.3400","0.0148","1.3826"
"0.3600","0.0157","1.3290"
"0.3800","0.0166","1.2088"
"0.4000","0.0176","1.9279"
"0.4200","0.0187","2.0968"
"0.4400","0.0197","1.5472"
"0.4600","0.0208","-0.1292"
"0.4800","0.0218","0.7576"
"0.5000","0.0228","0.5456"
"0.5200","0.0238","1.3440"
"0.5400","0.0248","0.6888"
"0.5600","0.0258","0.8479"
"0.5800","0.0268","0.5076"
"0.6000","0.0277","1.4665"
"0.6200","0.0287","1.4417"
"0.6400","0.0297","0.6627"
"0.6600","0.0308","0.6357"
"0.6800","0.0318","1.8317"
"0.7000","0.0329","2.4236"
"0.7200","0.0338","1.3099"
"0.7400","0.0348","0.4860"
"0.7600","0.0358","1.0907"
"0.7800","0.0368","1.3980"
"0.8000","0.0378","2.0398"
"0.8200","0.0388","1.5633"
"0.8400","0.0398","0.5107"
"0.8600","0.0408","1.0300"
"0.8800","0.0418","1.4085"
"0.9000","0.0428","0.8394"
"0.9200","0.0437","0.4066"
"0.9400","0.0448","1.1561"
"0.9600","0.0458","1.5375"
"0.9800","0.0468","1.8738"
"1.0000","0.0478","1.0712"
"1.0200","0.0488","0.7967"
"1.0400","0.0498","0.9310"
"1.0600","0.0508","2.0565"
"1.0800","0.0518","1.6627"
"1.1000","0.0528","1.4150"
"1.1200","0.0537","0.8459"
"1.1400","0.0547","1.3114"
"1.1600","0.0557","1.7615"
"1.1800","0.0568","0.8258"
"1.2000","0.0578","0.4322"
"1.2200","0.0589","1.2907"
"1.2400","0.0598","1.7302"
"1.2600","0.0608","1.8557"
