Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","0.3444"
"0.0200","0.0001","0.5637"
"0.0400","0.0002","0.3837"
"0.0600","0.0007","0.5397"
"0.0800","0.0007","0.5557"
"0.1000","0.0007","0.8190"
"0.1200","0.0008","0.1619"
"0.1400","0.0011","-0.4005"
"0.1600","0.0025","1.0379"
"0.1800","0.0046","2.0748"
"0.2000","0.0064","1.2312"
"0.2200","0.0079","0.2271"
"0.2400","0.0091","0.6307"
"0.2600","0.0104","-0.2212"
"0.2800","0.0115","-0.3025"
"0.3000","0.0125","-0.5999"
"0.3200","0.0136","0.5142"
"0.3400","0.0146","1.7367"
"0.3600","0.0156","0.6263"
"0.3800","0.0166","-1.1852"
"0.4000","0.0176","-0.8616"
"0.4200","0.0186","0.8200"
"0.4400","0.0196","1.5584"
"0.4600","0.0207","0.5850"
"0.4800","0.0217","0.4046"
"0.5000","0.0226","0.7243"
"0.5200","0.0235","0.4863"
"0.5400","0.0246","-0.5430"
"0.5600","0.0256","-0.6225"
"0.5800","0.0266","0.0068"
"0.6000","0.0275","0.7391"
"0.6200","0.0286","1.0792"
"0.6400","0.0296","1.5516"
"0.6600","0.0306","-0.0530"
"0.6800","0.0316","-0.6106"
"0.7000","0.0325","0.3211"
"0.7200","0.0335","0.7215"
"0.7400","0.0346","0.9407"
"0.7600","0.0356","0.8450"
"0.7800","0.0367","1.1168"
"0.8000","0.0377","0.7555"
"0.8200","0.0387","0.7521"
"0.8400","0.0396","-0.0741"
"0.8600","0.0406","-1.0983"
"0.8800","0.0416","-0.2376"
"0.9000","0.0426","0.8552"
"0.9200","0.0435","0.0402"
"0.9400","0.0446","1.0478"
"0.9600","0.0457","0.7388"
"0.9800","0.0467","-0.6318"
"1.0000","0.0477","-1.3693"
"1.0200","0.0487","0.5096"
"1.0400","0.0497","1.6861"
"1.0600","0.0507","0.4239"
"1.0800","0.0518","-0.0903"
"1.1000","0.0528","0.4883"
"1.1200","0.0538","1.8420"
"1.1400","0.0548","-0.6637"
"1.1600","0.0558","-0.2857"
"1.1800","0.0568","1.0347"
"1.2000","0.0578","1.1896"
"1.2200","0.0587","-0.2317"
"1.2400","0.0597","1.1242"
"1.2600","0.0607","0.8430"
"1.2800","0.0617","1.2695"
"1.3000","0.0627","-0.6206"
"1.3200","0.0637","0.6392"
"1.3400","0.0647","0.5239"
"1.3600","0.0657","0.8628"
"1.3800","0.0666","-0.1916"
"1.4000","0.0676","2.1543"
"1.4200","0.0685","0.6906"
"1.4400","0.0695","-0.6674"
"1.4600","0.0706","-0.8492"
"1.4800","0.0716","1.4196"
"1.5000","0.0727","0.3442"
"1.5200","0.0736","0.9119"
"1.5400","0.0746","1.0168"
"1.5600","0.0756","1.8756"
"1.5800","0.0766","0.5706"
"1.6000","0.0776","-0.6945"
"1.6200","0.0786","0.3765"
"1.6400","0.0795","1.1350"
"1.6600","0.0806","0.0370"
"1.6800","0.0817","-0.5026"
"1.7000","0.0827","0.0627"
"1.7200","0.0838","-0.4450"
"1.7400","0.0847","0.4059"
"1.7600","0.0857","1.2358"
"1.7800","0.0867","1.1857"
"1.8000","0.0877","0.2964"
"1.8200","0.0888","-0.3644"
"1.8400","0.0898","0.2077"
"1.8600","0.0908","0.8971"
"1.8800","0.0918","0.3876"
"1.9000","0.0928","0.5460"
"1.9200","0.0938","1.0175"
"1.9400","0.0947","0.4829"
"1.9600","0.0957","-0.3830"
"1.9800","0.0967","0.4814"
"2.0000","0.0977","1.3351"
"2.0200","0.0987","1.0549"
"2.0400","0.0997","0.0736"
"2.0600","0.1007","-0.2398"
"2.0800","0.1017","0.2429"
"2.1000","0.1027","0.3961"
"2.1200","0.1037","0.2274"
"2.1400","0.1046","1.1352"
"2.1600","0.1056","0.8549"
"2.1800","0.1066","0.6604"
"2.2000","0.1076","1.4077"
"2.2200","0.1087","1.9997"
"2.2400","0.1096","0.9991"
"2.2600","0.1106","0.9859"
"2.2800","0.1116","0.1357"
"2.3000","0.1126","0.5122"
"2.3200","0.1136","0.0570"
"2.3400","0.1146","1.0020"
"2.3600","0.1155","0.7899"
"2.3800","0.1165","1.1393"
"2.4000","0.1176","-0.9311"
"2.4200","0.1187","-0.3422"
"2.4400","0.1197","0.3367"
"2.4600","0.1207","1.4293"
"2.4800","0.1217","1.5245"
"2.5000","0.1227","1.1607"
"2.5200","0.1237","0.5609"
"2.5400","0.1247","0.4364"
"2.5600","0.1258","-0.0225"
"2.5800","0.1268","1.0708"
"2.6000","0.1278","1.2367"
"2.6200","0.1288","0.7931"
"2.6400","0.1297","-0.9737"
"2.6600","0.1307","0.2542"
"2.6800","0.1317","0.6891"
"2.7000","0.1327","1.0248"
"2.7200","0.1337","0.9660"
"2.7400","0.1348","0.7286"
"2.7600","0.1358","-0.4366"
"2.7800","0.1368","-0.0334"
"2.8000","0.1377","0.0145"
"2.8200","0.1387","1.1925"
"2.8400","0.1396","0.6386"
"2.8600","0.1406","1.3735"
"2.8800","0.1416","-0.0370"
"2.9000","0.1426","0.2687"
"2.9200","0.1436","-0.8471"
"2.9400","0.1447","1.0030"
"2.9600","0.1457","0.7337"
"2.9800","0.1467","1.0337"
"3.0000","0.1477","-0.6997"
"3.0200","0.1487","0.4569"
"3.0400","0.1497","-0.4150"
"3.0600","0.1507","1.2922"
"3.0800","0.1516","1.1286"
"3.1000","0.1526","1.9569"
"3.1200","0.1536","0.2424"
"3.1400","0.1546","0.6108"
"3.1600","0.1557","-0.4029"
"3.1800","0.1567","1.2565"
"3.2000","0.1577","0.6732"
"3.2200","0.1587","1.5375"
"3.2400","0.1597","0.1726"
"3.2600","0.1606","0.6161"
"3.2800","0.1617","-0.1290"
"3.3000","0.1627","1.0454"
"3.3200","0.1637","0.7058"
"3.3400","0.1647","0.3565"
"3.3600","0.1656","-0.3335"
"3.3800","0.1666","-0.2615"
"3.4000","0.1676","0.6761"
"3.4200","0.1686","1.1564"
"3.4400","0.1696","0.9076"
"3.4600","0.1707","0.8349"
"3.4800","0.1717","0.5382"
"3.5000","0.1727","0.0900"
"3.5200","0.1737","0.8931"
"3.5400","0.1746","1.7448"
"3.5600","0.1756","1.3048"
"3.5800","0.1766","0.0278"
"3.6000","0.1776","0.4886"
"3.6200","0.1786","0.1686"
"3.6400","0.1797","1.0856"
"3.6600","0.1807","0.5905"
"3.6800","0.1817","0.6453"
"3.7000","0.1827","0.9582"
"3.7200","0.1837","0.6441"
"3.7400","0.1847","-0.6906"
"3.7600","0.1857","0.5859"
"3.7800","0.1866","0.9022"
"3.8000","0.1876","2.2723"
"3.8200","0.1886","0.4330"
"3.8400","0.1897","0.3634"
"3.8600","0.1907","-0.1965"
"3.8800","0.1918","0.7963"
"3.9000","0.1928","0.5635"
"3.9200","0.1937","1.5162"
"3.9400","0.1947","1.5214"
"3.9600","0.1957","1.0209"
"3.9800","0.1967","0.8314"
"4.0000","0.1977","1.4356"
"4.0200","0.1987","1.2526"
"4.0400","0.1997","0.5052"
