Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","1.3262"
"0.0200","0.0000","1.0953"
"0.0400","0.0000","1.0659"
"0.0600","0.0001","-0.2064"
"0.0800","0.0004","1.6758"
"0.1000","0.0010","1.5202"
"0.1200","0.0011","1.3313"
"0.1400","0.0011","-0.3146"
"0.1600","0.0013","1.4278"
"0.1800","0.0015","1.7438"
"0.2000","0.0026","2.1767"
"0.2200","0.0046","1.4192"
"0.2400","0.0063","2.1761"
"0.2600","0.0079","1.9245"
"0.2800","0.0094","1.6592"
"0.3000","0.0106","0.0912"
"0.3200","0.0116","1.3719"
"0.3400","0.0128","1.3349"
"0.3600","0.0139","1.0698"
"0.3800","0.0149","0.4795"
"0.4000","0.0158","1.2069"
"0.4200","0.0169","1.5593"
"0.4400","0.0179","1.4919"
"0.4600","0.0189","0.9918"
"0.4800","0.0199","1.2157"
"0.5000","0.0208","1.3802"
"0.5200","0.0217","0.8572"
"0.5400","0.0227","0.7763"
"0.5600","0.0238","1.6977"
"0.5800","0.0249","1.3143"
"0.6000","0.0259","0.4110"
"0.6200","0.0269","0.3329"
"0.6400","0.0278","1.7857"
"0.6600","0.0288","2.0747"
"0.6800","0.0298","1.3703"
"0.7000","0.0308","0.3327"
"0.7200","0.0318","2.0312"
"0.7400","0.0329","1.2460"
"0.7600","0.0339","1.7116"
"0.7800","0.0349","0.2438"
"0.8000","0.0359","2.0077"
"0.8200","0.0369","1.1875"
"0.8400","0.0379","1.3733"
"0.8600","0.0389","0.1391"
"0.8800","0.0399","1.7921"
"0.9000","0.0409","1.3887"
"0.9200","0.0418","1.4055"
"0.9400","0.0428","-0.1282"
"0.9600","0.0439","1.3193"
"0.9800","0.0450","1.5501"
"1.0000","0.0460","2.4617"
"1.0200","0.0470","0.6275"
"1.0400","0.0480","1.7521"
"1.0600","0.0490","1.6837"
"1.0800","0.0500","1.4982"
"1.1000","0.0510","1.1612"
"1.1200","0.0520","1.7339"
"1.1400","0.0530","1.2842"
"1.1600","0.0540","1.9906"
"1.1800","0.0550","0.3982"
"1.2000","0.0560","1.8697"
"1.2200","0.0569","1.0116"
"1.2400","0.0579","1.7850"
"1.2600","0.0589","0.9511"
"1.2800","0.0599","1.5912"
"1.3000","0.0609","1.6299"
"1.3200","0.0619","1.5165"
"1.3400","0.0629","0.4380"
"1.3600","0.0639","0.6917"
"1.3800","0.0649","1.3473"
"1.4000","0.0658","1.4973"
"1.4200","0.0668","0.7667"
"1.4400","0.0678","1.1876"
"1.4600","0.0689","1.9336"
"1.4800","0.0699","1.2846"
"1.5000","0.0709","0.8240"
"1.5200","0.0719","1.3093"
"1.5400","0.0729","1.9458"
"1.5600","0.0739","1.2091"
"1.5800","0.0749","1.2642"
"1.6000","0.0759","1.8916"
"1.6200","0.0768","1.8477"
"1.6400","0.0778","1.2815"
"1.6600","0.0788","0.7351"
"1.6800","0.0799","1.7715"
"1.7000","0.0810","1.9034"
"1.7200","0.0820","1.7330"
"1.7400","0.0830","0.5664"
"1.7600","0.0840","1.3132"
"1.7800","0.0850","1.4780"
"1.8000","0.0860","1.1530"
"1.8200","0.0870","1.2455"
"1.8400","0.0881","2.0458"
"1.8600","0.0891","2.0864"
"1.8800","0.0901","1.6358"
"1.9000","0.0910","0.6431"
"1.9200","0.0920","1.0443"
"1.9400","0.0930","1.3435"
"1.9600","0.0939","1.4809"
"1.9800","0.0949","0.9857"
"2.0000","0.0959","1.5749"
"2.0200","0.0970","2.1742"
"2.0400","0.0980","1.7541"
"2.0600","0.0990","1.5357"
"2.0800","0.1000","0.9543"
"2.1000","0.1010","1.3950"
"2.1200","0.1019","1.5296"
"2.1400","0.1029","1.5754"
"2.1600","0.1039","1.7756"
"2.1800","0.1049","1.9347"
"2.2000","0.1059","1.5897"
"2.2200","0.1069","0.5523"
"2.2400","0.1079","1.2924"
"2.2600","0.1088","2.1082"
"2.2800","0.1098","1.6629"
"2.3000","0.1108","1.1600"
"2.3200","0.1118","0.8118"
"2.3400","0.1128","1.1556"
