Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","0.5667"
"0.0200","0.0000","1.5778"
"0.0400","0.0004","-0.4205"
"0.0600","0.0011","1.2428"
"0.0800","0.0015","-0.6613"
"0.1000","0.0016","1.7302"
"0.1200","0.0016","-0.5094"
"0.1400","0.0018","0.9722"
"0.1600","0.0027","0.4069"
"0.1800","0.0045","2.6828"
"0.2000","0.0062","0.3918"
"0.2200","0.0077","0.3242"
"0.2400","0.0090","0.6844"
"0.2600","0.0103","1.7504"
"0.2800","0.0115","0.9378"
"0.3000","0.0126","-0.7894"
"0.3200","0.0136","1.5258"
"0.3400","0.0148","0.3835"
"0.3600","0.0159","2.7721"
"0.3800","0.0170","0.0246"
"0.4000","0.0180","1.6224"
"0.4200","0.0190","-0.2921"
"0.4400","0.0200","1.0498"
"0.4600","0.0210","0.1038"
"0.4800","0.0220","1.1909"
"0.5000","0.0230","-0.3043"
"0.5200","0.0240","0.3635"
"0.5400","0.0250","0.6973"
"0.5600","0.0261","-0.1517"
"0.5800","0.0271","0.5549"
"0.6000","0.0279","0.1227"
"0.6200","0.0288","2.6881"
"0.6400","0.0299","-0.3422"
"0.6600","0.0309","1.3563"
"0.6800","0.0320","-0.4728"
"0.7000","0.0330","2.5679"
"0.7200","0.0340","-0.8797"
"0.7400","0.0350","1.4130"
"0.7600","0.0359","-0.1451"
"0.7800","0.0369","2.5137"
"0.8000","0.0379","-0.1649"
"0.8200","0.0388","0.7012"
"0.8400","0.0399","0.5411"
"0.8600","0.0409","1.6927"
"0.8800","0.0420","1.1785"
"0.9000","0.0430","0.0346"
"0.9200","0.0440","1.1118"
"0.9400","0.0449","-0.3300"
"0.9600","0.0459","1.7987"
"0.9800","0.0469","-0.6600"
"1.0000","0.0479","2.3773"
"1.0200","0.0488","-0.1039"
"1.0400","0.0498","2.7808"
"1.0600","0.0509","-0.9216"
"1.0800","0.0520","1.9751"
"1.1000","0.0530","-0.2325"
"1.1200","0.0540","2.4056"
"1.1400","0.0549","0.5935"
"1.1600","0.0559","1.3494"
"1.1800","0.0570","0.5222"
"1.2000","0.0580","1.7525"
"1.2200","0.0590","1.5431"
"1.2400","0.0600","0.0544"
"1.2600","0.0611","1.1811"
"1.2800","0.0621","0.4412"
"1.3000","0.0630","2.5680"
"1.3200","0.0640","-0.4047"
"1.3400","0.0650","2.2142"
"1.3600","0.0660","0.0988"
"1.3800","0.0670","3.1800"
"1.4000","0.0680","-0.6628"
"1.4200","0.0691","2.6571"
"1.4400","0.0701","0.2857"
"1.4600","0.0710","2.9364"
"1.4800","0.0720","0.1672"
"1.5000","0.0729","1.5838"
"1.5200","0.0739","0.8278"
"1.5400","0.0749","1.5840"
"1.5600","0.0759","1.4616"
"1.5800","0.0769","0.1788"
"1.6000","0.0779","1.3840"
"1.6200","0.0789","0.5800"
"1.6400","0.0799","2.3641"
"1.6600","0.0808","-0.0784"
"1.6800","0.0818","2.0803"
"1.7000","0.0829","0.1729"
"1.7200","0.0839","2.9113"
"1.7400","0.0848","-0.4366"
"1.7600","0.0859","1.4697"
"1.7800","0.0870","-0.0943"
"1.8000","0.0880","2.7220"
"1.8200","0.0890","0.9374"
"1.8400","0.0900","1.3714"
"1.8600","0.0909","0.5888"
"1.8800","0.0919","1.3943"
"1.9000","0.0929","2.2781"
"1.9200","0.0940","0.6237"
"1.9400","0.0950","2.1714"
"1.9600","0.0960","0.4404"
"1.9800","0.0970","1.6185"
"2.0000","0.0980","-0.4576"
"2.0200","0.0989","2.2253"
"2.0400","0.0999","0.7338"
"2.0600","0.1009","2.6478"
"2.0800","0.1019","0.0039"
"2.1000","0.1029","0.8907"
"2.1200","0.1040","0.3472"
"2.1400","0.1050","2.4830"
"2.1600","0.1060","1.5169"
"2.1800","0.1069","0.9469"
"2.2000","0.1079","0.8706"
"2.2200","0.1088","1.0354"
"2.2400","0.1098","1.9375"
"2.2600","0.1108","0.2228"
"2.2800","0.1119","2.4995"
"2.3000","0.1129","0.9756"
"2.3200","0.1139","2.3757"
"2.3400","0.1149","-0.6180"
"2.3600","0.1159","1.6615"
"2.3800","0.1169","0.1118"
"2.4000","0.1179","2.6228"
"2.4200","0.1189","-0.0866"
"2.4400","0.1198","1.3829"
"2.4600","0.1209","0.9153"
"2.4800","0.1219","2.0120"
"2.5000","0.1230","1.7897"
"2.5200","0.1240","1.5305"
"2.5400","0.1251","1.7396"
"2.5600","0.1261","0.9194"
"2.5800","0.1271","2.3152"
"2.6000","0.1280","0.5972"
"2.6200","0.1290","2.5205"
"2.6400","0.1300","-0.3749"
"2.6600","0.1311","4.1149"
"2.6800","0.1321","-0.7418"
"2.7000","0.1330","3.0509"
"2.7200","0.1340","-0.1840"
"2.7400","0.1349","3.4565"
"2.7600","0.1358","-0.2329"
"2.7800","0.1369","1.7284"
"2.8000","0.1379","0.3954"
"2.8200","0.1390","2.8835"
"2.8400","0.1400","1.3098"
"2.8600","0.1410","1.0718"
"2.8800","0.1420","1.3808"
"2.9000","0.1430","1.1685"
"2.9200","0.1439","2.2371"
"2.9400","0.1449","0.3351"
"2.9600","0.1458","2.3437"
"2.9800","0.1468","0.6431"
"3.0000","0.1479","3.7012"
"3.0200","0.1490","0.6296"
"3.0400","0.1500","2.0860"
"3.0600","0.1510","0.0105"
"3.0800","0.1519","2.5935"
"3.1000","0.1530","-0.0802"
"3.1200","0.1539","1.7481"
"3.1400","0.1549","1.3970"
"3.1600","0.1558","2.3736"
"3.1800","0.1568","1.6492"
"3.2000","0.1579","1.1285"
"3.2200","0.1590","1.5767"
