Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","3.6236"
"0.0200","0.0001","2.1104"
"0.0400","0.0001","3.7308"
"0.0600","0.0006","1.1923"
"0.0800","0.0008","3.4834"
"0.1000","0.0007","1.6166"
"0.1200","0.0008","3.3962"
"0.1400","0.0012","1.9457"
"0.1600","0.0026","3.3934"
"0.1800","0.0047","2.8363"
"0.2000","0.0064","2.4371"
"0.2200","0.0078","1.6549"
"0.2400","0.0089","0.6696"
"0.2600","0.0100","2.4949"
"0.2800","0.0112","1.5712"
"0.3000","0.0124","3.8201"
"0.3200","0.0135","0.7984"
"0.3400","0.0146","3.2393"
"0.3600","0.0156","0.4546"
"0.3800","0.0166","3.4978"
"0.4000","0.0176","0.7414"
"0.4200","0.0185","3.8579"
"0.4400","0.0195","1.7082"
"0.4600","0.0205","3.4774"
"0.4800","0.0216","1.4302"
"0.5000","0.0226","2.6960"
"0.5200","0.0236","1.9798"
"0.5400","0.0246","1.9247"
"0.5600","0.0255","2.4379"
"0.5800","0.0265","1.4144"
"0.6000","0.0275","3.9025"
"0.6200","0.0286","2.0574"
"0.6400","0.0296","4.1583"
"0.6600","0.0306","0.6233"
"0.6800","0.0316","3.7940"
"0.7000","0.0326","1.1694"
"0.7200","0.0335","4.0360"
"0.7400","0.0345","0.8253"
"0.7600","0.0355","3.2254"
"0.7800","0.0365","1.1937"
"0.8000","0.0375","2.5458"
"0.8200","0.0386","1.7299"
"0.8400","0.0396","2.5106"
"0.8600","0.0406","3.2150"
"0.8800","0.0415","2.0998"
"0.9000","0.0425","2.5126"
"0.9200","0.0435","1.0157"
"0.9400","0.0445","4.5545"
"0.9600","0.0454","1.7965"
"0.9800","0.0465","3.9594"
"1.0000","0.0476","0.4704"
"1.0200","0.0486","3.5137"
"1.0400","0.0497","1.1563"
"1.0600","0.0507","3.3658"
"1.0800","0.0516","0.7467"
"1.1000","0.0526","3.5629"
"1.1200","0.0536","2.3323"
"1.1400","0.0546","3.0261"
"1.1600","0.0556","1.9779"
"1.1800","0.0566","2.2714"
"1.2000","0.0577","3.2208"
"1.2200","0.0587","1.7312"
"1.2400","0.0597","3.2836"
"1.2600","0.0607","0.5249"
"1.2800","0.0616","3.4966"
"1.3000","0.0625","1.4695"
"1.3200","0.0635","3.8988"
"1.3400","0.0646","0.4083"
"1.3600","0.0656","3.3382"
"1.3800","0.0666","1.0553"
"1.4000","0.0675","2.7932"
"1.4200","0.0685","0.7662"
"1.4400","0.0695","2.6404"
"1.4600","0.0704","2.7353"
"1.4800","0.0714","3.0480"
"1.5000","0.0725","3.1371"
"1.5200","0.0736","1.4897"
"1.5400","0.0746","2.3881"
"1.5600","0.0756","1.1468"
"1.5800","0.0766","3.4749"
"1.6000","0.0775","0.7614"
"1.6200","0.0785","4.0929"
"1.6400","0.0795","1.5709"
"1.6600","0.0805","3.7193"
"1.6800","0.0815","0.1265"
"1.7000","0.0825","2.7884"
"1.7200","0.0836","1.1822"
"1.7400","0.0847","3.5262"
"1.7600","0.0857","1.9169"
"1.7800","0.0867","2.9420"
"1.8000","0.0877","2.7910"
"1.8200","0.0887","3.0360"
"1.8400","0.0897","3.0320"
"1.8600","0.0907","1.0890"
"1.8800","0.0917","3.8920"
"1.9000","0.0927","2.3414"
"1.9200","0.0937","3.6620"
"1.9400","0.0947","0.9058"
"1.9600","0.0957","3.6932"
"1.9800","0.0966","1.4167"
"2.0000","0.0976","3.7160"
"2.0200","0.0985","1.2860"
"2.0400","0.0996","4.3868"
"2.0600","0.1006","1.9833"
"2.0800","0.1016","5.4535"
"2.1000","0.1026","0.4749"
"2.1200","0.1036","3.9905"
"2.1400","0.1046","2.2643"
"2.1600","0.1055","3.2550"
"2.1800","0.1065","2.6398"
"2.2000","0.1074","1.7873"
"2.2200","0.1084","3.3512"
"2.2400","0.1095","1.3571"
"2.2600","0.1106","3.5318"
"2.2800","0.1116","0.4759"
"2.3000","0.1126","4.2770"
"2.3200","0.1136","1.2626"
"2.3400","0.1146","4.4215"
"2.3600","0.1156","1.2902"
"2.3800","0.1166","3.9638"
"2.4000","0.1175","1.5734"
"2.4200","0.1184","3.8931"
"2.4400","0.1195","1.6114"
"2.4600","0.1206","2.9598"
"2.4800","0.1217","2.4430"
"2.5000","0.1226","3.0603"
"2.5200","0.1236","2.4719"
"2.5400","0.1246","1.3737"
"2.5600","0.1257","2.5595"
"2.5800","0.1267","2.0654"
"2.6000","0.1277","3.1664"
"2.6200","0.1287","1.2050"
"2.6400","0.1297","3.3691"
"2.6600","0.1307","1.9966"
"2.6800","0.1317","2.9953"
"2.7000","0.1327","0.4119"
"2.7200","0.1336","2.7268"
"2.7400","0.1346","2.0606"
"2.7600","0.1356","3.0540"
"2.7800","0.1366","2.4897"
"2.8000","0.1376","2.7981"
"2.8200","0.1387","3.0852"
"2.8400","0.1397","2.1105"
"2.8600","0.1407","2.9861"
"2.8800","0.1416","2.3770"
"2.9000","0.1425","3.9711"
"2.9200","0.1435","1.9771"
"2.9400","0.1445","3.5443"
"2.9600","0.1455","0.8995"
"2.9800","0.1466","3.6475"
"3.0000","0.1476","2.5159"
"3.0200","0.1486","4.4629"
"3.0400","0.1495","2.3413"
"3.0600","0.1505","2.5508"
"3.0800","0.1515","2.3998"
"3.1000","0.1525","3.0815"
"3.1200","0.1535","3.2455"
"3.1400","0.1545","2.1577"
"3.1600","0.1556","3.7846"
"3.1800","0.1567","1.8351"
"3.2000","0.1577","3.2892"
"3.2200","0.1587","0.7961"
"3.2400","0.1597","4.1929"
"3.2600","0.1607","1.7399"
"3.2800","0.1617","4.6463"
"3.3000","0.1627","1.1448"
"3.3200","0.1638","3.6140"
"3.3400","0.1648","2.0478"
"3.3600","0.1658","3.9849"
"3.3800","0.1667","1.5743"
"3.4000","0.1677","2.8789"
"3.4200","0.1686","3.2512"
"3.4400","0.1696","3.2605"
"3.4600","0.1706","2.7746"
"3.4800","0.1716","1.7780"
"3.5000","0.1726","3.8756"
"3.5200","0.1736","2.5837"
"3.5400","0.1747","4.0087"
"3.5600","0.1757","0.9094"
"3.5800","0.1766","3.3739"
"3.6000","0.1776","1.9278"
"3.6200","0.1785","4.4186"
"3.6400","0.1795","1.6960"
