Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","0.0940"
"0.0200","0.0001","0.4664"
"0.0400","0.0004","0.2583"
"0.0600","0.0011","0.2397"
"0.0800","0.0019","0.2896"
"0.1000","0.0017","0.1549"
"0.1200","0.0018","-0.1568"
"0.1400","0.0020","0.2806"
"0.1600","0.0027","0.1206"
"0.1800","0.0044","0.8628"
"0.2000","0.0061","0.1654"
"0.2200","0.0077","-0.2186"
"0.2400","0.0090","-0.7548"
"0.2600","0.0103","-0.5039"
"0.2800","0.0114","-0.1659"
"0.3000","0.0125","-0.1425"
"0.3200","0.0135","-0.0019"
"0.3400","0.0145","0.0326"
"0.3600","0.0157","0.0289"
"0.3800","0.0168","0.3915"
"0.4000","0.0179","0.7500"
"0.4200","0.0189","0.5965"
"0.4400","0.0198","0.4628"
"0.4600","0.0208","0.4518"
"0.4800","0.0218","0.0195"
"0.5000","0.0228","0.3175"
"0.5200","0.0238","0.2735"
"0.5400","0.0248","0.2074"
"0.5600","0.0258","0.0777"
"0.5800","0.0268","0.3047"
"0.6000","0.0278","0.2527"
"0.6200","0.0288","0.4043"
"0.6400","0.0298","-0.5620"
"0.6600","0.0308","-0.0724"
"0.6800","0.0318","0.6257"
"0.7000","0.0328","0.9709"
"0.7200","0.0338","0.7601"
"0.7400","0.0348","0.4632"
"0.7600","0.0358","-0.1710"
"0.7800","0.0368","-0.0394"
"0.8000","0.0378","0.0254"
"0.8200","0.0387","0.1914"
"0.8400","0.0397","0.1407"
"0.8600","0.0408","-0.2385"
"0.8800","0.0418","0.1843"
"0.9000","0.0429","0.1443"
"0.9200","0.0440","0.6799"
"0.9400","0.0450","0.5163"
"0.9600","0.0460","-0.0502"
"0.9800","0.0470","0.1382"
"1.0000","0.0479","1.0820"
"1.0200","0.0489","1.1434"
"1.0400","0.0498","0.7229"
"1.0600","0.0508","0.1326"
"1.0800","0.0519","0.6773"
"1.1000","0.0530","0.2634"
"1.1200","0.0541","-0.2908"
"1.1400","0.0551","0.1555"
"1.1600","0.0560","0.2466"
"1.1800","0.0569","0.6162"
"1.2000","0.0579","0.3038"
"1.2200","0.0589","0.7086"
"1.2400","0.0600","0.5960"
"1.2600","0.0610","1.2942"
"1.2800","0.0620","0.3049"
"1.3000","0.0630","0.6050"
"1.3200","0.0640","0.3294"
"1.3400","0.0650","1.3105"
"1.3600","0.0659","0.6461"
"1.3800","0.0669","0.3325"
"1.4000","0.0679","-0.3229"
"1.4200","0.0689","0.3228"
"1.4400","0.0699","0.2961"
"1.4600","0.0709","0.8059"
"1.4800","0.0719","0.5565"
"1.5000","0.0728","0.7340"
"1.5200","0.0738","0.5478"
"1.5400","0.0747","1.0078"
"1.5600","0.0758","0.9559"
"1.5800","0.0768","0.5973"
"1.6000","0.0779","0.3093"
"1.6200","0.0789","0.7609"
"1.6400","0.0799","1.1682"
"1.6600","0.0809","0.5027"
"1.6800","0.0820","0.5161"
"1.7000","0.0829","-0.0575"
"1.7200","0.0839","0.1418"
"1.7400","0.0848","0.6846"
"1.7600","0.0858","0.3799"
"1.7800","0.0868","0.4498"
"1.8000","0.0880","0.6525"
"1.8200","0.0891","0.7065"
"1.8400","0.0901","0.5125"
"1.8600","0.0910","0.3148"
"1.8800","0.0920","0.4786"
"1.9000","0.0929","0.7557"
"1.9200","0.0940","1.2116"
"1.9400","0.0950","0.4930"
"1.9600","0.0960","0.3503"
"1.9800","0.0970","0.9157"
"2.0000","0.0980","1.4304"
"2.0200","0.0990","0.9044"
"2.0400","0.1000","0.4992"
"2.0600","0.1009","0.3603"
"2.0800","0.1019","0.8195"
"2.1000","0.1029","0.7657"
"2.1200","0.1039","0.7059"
"2.1400","0.1049","0.3613"
"2.1600","0.1059","0.7317"
"2.1800","0.1069","0.2386"
"2.2000","0.1079","0.8569"
"2.2200","0.1089","0.9753"
"2.2400","0.1098","0.8417"
"2.2600","0.1108","0.1520"
"2.2800","0.1118","0.3657"
"2.3000","0.1128","1.1314"
"2.3200","0.1139","0.5380"
"2.3400","0.1150","0.4300"
"2.3600","0.1160","0.6140"
"2.3800","0.1170","1.0529"
"2.4000","0.1180","0.5957"
"2.4200","0.1190","0.3590"
"2.4400","0.1199","0.2485"
"2.4600","0.1208","0.6983"
"2.4800","0.1218","0.6323"
"2.5000","0.1229","0.9838"
"2.5200","0.1240","0.8223"
"2.5400","0.1251","1.4833"
"2.5600","0.1261","1.2537"
"2.5800","0.1270","1.2352"
"2.6000","0.1280","0.7181"
"2.6200","0.1290","1.5267"
"2.6400","0.1300","1.2367"
"2.6600","0.1310","1.1246"
"2.6800","0.1320","0.0800"
"2.7000","0.1330","0.1703"
"2.7200","0.1340","0.6738"
"2.7400","0.1350","1.5271"
"2.7600","0.1359","1.1114"
"2.7800","0.1369","0.4326"
"2.8000","0.1379","-0.1586"
"2.8200","0.1390","0.9607"
"2.8400","0.1400","1.4361"
"2.8600","0.1410","1.1556"
"2.8800","0.1420","0.2825"
"2.9000","0.1429","0.7985"
"2.9200","0.1439","0.7420"
"2.9400","0.1449","1.2716"
"2.9600","0.1458","0.6938"
"2.9800","0.1468","0.7678"
"3.0000","0.1477","1.2112"
"3.0200","0.1488","1.6635"
"3.0400","0.1499","0.5141"
"3.0600","0.1509","0.9100"
"3.0800","0.1520","0.4813"
"3.1000","0.1529","1.3881"
"3.1200","0.1539","0.9486"
"3.1400","0.1548","0.9299"
"3.1600","0.1557","0.4521"
"3.1800","0.1567","1.4079"
"3.2000","0.1578","1.4799"
"3.2200","0.1589","1.1866"
"3.2400","0.1601","0.5804"
"3.2600","0.1611","0.5709"
"3.2800","0.1620","1.0264"
"3.3000","0.1630","1.1966"
"3.3200","0.1639","0.9593"
"3.3400","0.1650","0.5178"
"3.3600","0.1660","0.8667"
"3.3800","0.1670","1.7099"
"3.4000","0.1680","1.3669"
"3.4200","0.1690","0.7430"
"3.4400","0.1700","0.0023"
"3.4600","0.1709","0.7572"
"3.4800","0.1719","1.3058"
"3.5000","0.1729","1.4453"
"3.5200","0.1739","1.1747"
"3.5400","0.1750","1.1498"
"3.5600","0.1760","0.9723"
"3.5800","0.1770","1.0327"
"3.6000","0.1780","0.9937"
"3.6200","0.1790","0.8748"
"3.6400","0.1799","1.3265"
"3.6600","0.1808","1.5324"
"3.6800","0.1818","1.4760"
"3.7000","0.1828","0.8306"
"3.7200","0.1838","0.9830"
"3.7400","0.1849","0.7006"
"3.7600","0.1859","1.7550"
"3.7800","0.1869","1.2521"
"3.8000","0.1879","1.4137"
"3.8200","0.1889","1.4142"
"3.8400","0.1898","1.6333"
"3.8600","0.1907","1.6272"
"3.8800","0.1917","1.2509"
"3.9000","0.1928","0.9853"
"3.9200","0.1939","1.6337"
"3.9400","0.1951","2.1855"
"3.9600","0.1961","1.6801"
"3.9800","0.1971","0.8545"
"4.0000","0.1980","0.7993"
"4.0200","0.1989","1.3973"
"4.0400","0.1999","1.8208"
"4.0600","0.2009","1.4675"
"4.0800","0.2020","0.8892"
"4.1000","0.2030","0.9703"
"4.1200","0.2040","1.4462"
"4.1400","0.2050","1.1272"
"4.1600","0.2060","0.8203"
"4.1800","0.2070","0.7463"
"4.2000","0.2079","1.2326"
"4.2200","0.2090","1.2316"
"4.2400","0.2100","1.0006"
"4.2600","0.2110","1.1957"
"4.2800","0.2120","1.3262"
"4.3000","0.2130","1.5446"
"4.3200","0.2140","1.4542"
"4.3400","0.2150","0.8497"
"4.3600","0.2160","1.1625"
"4.3800","0.2169","0.9503"
"4.4000","0.2178","1.6643"
"4.4200","0.2188","1.3741"
"4.4400","0.2198","1.1175"
"4.4600","0.2209","1.5157"
"4.4800","0.2219","1.5154"
"4.5000","0.2230","1.5951"
"4.5200","0.2240","0.9153"
"4.5400","0.2249","1.3094"
"4.5600","0.2259","1.8817"
"4.5800","0.2267","1.7046"
"4.6000","0.2277","1.4145"
"4.6200","0.2288","1.2304"
"4.6400","0.2299","1.2184"
"4.6600","0.2311","1.1948"
"4.6800","0.2321","1.3286"
"4.7000","0.2331","0.8754"
"4.7200","0.2340","1.4613"
"4.7400","0.2350","2.4168"
"4.7600","0.2359","2.4313"
"4.7800","0.2370","2.0524"
"4.8000","0.2379","1.1018"
"4.8200","0.2389","1.0725"
"4.8400","0.2400","1.7576"
"4.8600","0.2410","2.2431"
"4.8800","0.2420","1.6007"
"4.9000","0.2430","1.2352"
"4.9200","0.2440","0.9946"
"4.9400","0.2450","2.0002"
"4.9600","0.2460","1.8447"
"4.9800","0.2470","1.1548"
"5.0000","0.2480","0.6072"
"5.0200","0.2490","1.3284"
"5.0400","0.2500","1.5825"
"5.0600","0.2510","2.0653"
"5.0800","0.2520","1.4964"
"5.1000","0.2529","1.4424"
"5.1200","0.2538","2.4779"
"5.1400","0.2548","1.5698"
"5.1600","0.2558","1.0538"
"5.1800","0.2569","1.8782"
"5.2000","0.2579","2.0834"
"5.2200","0.2589","2.4898"
"5.2400","0.2599","1.4808"
"5.2600","0.2609","1.1962"
"5.2800","0.2618","2.1596"
"5.3000","0.2626","1.3424"
"5.3200","0.2637","2.0118"
"5.3400","0.2648","0.3494"
"5.3600","0.2660","2.3147"
"5.3800","0.2671","0.8638"
"5.4000","0.2681","3.2165"
"5.4200","0.2690","1.0032"
"5.4400","0.2699","3.1017"
"5.4600","0.2709","0.5457"
"5.4800","0.2719","3.5994"
"5.5000","0.2729","0.7092"
"5.5200","0.2740","2.8683"
"5.5400","0.2750","-0.5328"
"5.5600","0.2760","2.4866"
"5.5800","0.2770","0.6900"
"5.6000","0.2780","2.9341"
"5.6200","0.2790","0.1251"
"5.6400","0.2800","1.8740"
"5.6600","0.2810","0.9407"
"5.6800","0.2821","3.2451"
"5.7000","0.2831","1.3633"
"5.7200","0.2840","2.3026"
"5.7400","0.2850","1.4977"
"5.7600","0.2860","2.9133"
"5.7800","0.2870","1.4261"
"5.8000","0.2880","1.8446"
"5.8200","0.2889","1.4069"
"5.8400","0.2899","2.0272"
"5.8600","0.2909","2.2003"
"5.8800","0.2919","2.0153"
"5.9000","0.2929","1.6513"
"5.9200","0.2939","1.5558"
"5.9400","0.2949","2.6874"
"5.9600","0.2959","2.0327"
"5.9800","0.2969","2.1496"
"6.0000","0.2978","1.4086"
"6.0200","0.2987","1.7834"
"6.0400","0.2998","1.7839"
"6.0600","0.3009","2.1429"
"6.0800","0.3020","1.6572"
"6.1000","0.3030","1.9061"
"6.1200","0.3040","1.7644"
"6.1400","0.3050","2.3838"
"6.1600","0.3059","1.3508"
"6.1800","0.3069","1.7232"
"6.2000","0.3079","1.9513"
"6.2200","0.3089","2.6294"
"6.2400","0.3100","2.3843"
"6.2600","0.3110","1.8265"
"6.2800","0.3120","1.6258"
"6.3000","0.3130","1.8867"
"6.3200","0.3140","2.0411"
"6.3400","0.3149","1.6262"
"6.3600","0.3158","1.7559"
"6.3800","0.3168","2.1450"
"6.4000","0.3179","2.8319"
"6.4200","0.3189","1.9253"
"6.4400","0.3199","2.2561"
"6.4600","0.3209","1.6797"
"6.4800","0.3219","1.7941"
"6.5000","0.3229","2.3749"
"6.5200","0.3238","2.0066"
"6.5400","0.3248","1.8319"
"6.5600","0.3258","1.9710"
"6.5800","0.3268","2.2054"
"6.6000","0.3278","2.6323"
"6.6200","0.3289","2.4859"
"6.6400","0.3299","1.8248"
"6.6600","0.3309","2.0444"
"6.6800","0.3318","2.0505"
"6.7000","0.3328","2.0758"
"6.7200","0.3339","2.0364"
"6.7400","0.3348","2.0452"
"6.7600","0.3358","2.2496"
"6.7800","0.3368","2.2946"
"6.8000","0.3379","1.6401"
"6.8200","0.3389","2.0406"
"6.8400","0.3399","2.2999"
"6.8600","0.3409","2.4024"
"6.8800","0.3419","1.6766"
"6.9000","0.3429","1.8212"
"6.9200","0.3439","1.6391"
"6.9400","0.3449","1.9481"
"6.9600","0.3459","2.0511"
"6.9800","0.3469","1.5523"
"7.0000","0.3479","1.6706"
"7.0200","0.3490","2.1538"
"7.0400","0.3499","2.6459"
"7.0600","0.3509","1.8570"
"7.0800","0.3518","1.5424"
"7.1000","0.3528","1.6715"
"7.1200","0.3539","3.0265"
"7.1400","0.3549","2.9953"
"7.1600","0.3559","2.1940"
"7.1800","0.3569","1.6803"
"7.2000","0.3579","1.8123"
"7.2200","0.3589","3.0511"
"7.2400","0.3598","2.0704"
"7.2600","0.3608","2.3196"
"7.2800","0.3618","1.8792"
"7.3000","0.3629","2.2830"
"7.3200","0.3639","2.3879"
"7.3400","0.3649","2.3030"
"7.3600","0.3659","1.7035"
"7.3800","0.3669","2.3133"
"7.4000","0.3679","2.2262"
"7.4200","0.3689","3.1579"
