Time,Force
(s),(N)
"5.0520","3.2439"
"5.0590","2.9793"
"5.0660","2.7013"
"5.0730","2.4152"
"5.0790","2.1630"
"5.0850","1.9022"
"5.0910","1.6295"
"5.0970","1.3440"
"5.1030","1.0489"
"5.1090","0.7533"
"5.1150","0.4692"
"5.1210","0.2121"
"5.1290","-0.0529"
"5.1490","-0.2081"
"5.1690","-0.0976"
"5.1890","-0.0139"
"5.2090","0.0069"
"5.2290","0.0066"
"5.2490","0.0018"
"5.2690","0.0007"
"5.2890","-0.0024"
"5.3090","0.0015"
"5.3290","0.0016"
"5.3490","0.0019"
"5.3690","-0.0023"
"5.3890","-0.0008"
"5.4090","0.0003"
"5.4290","0.0027"
"5.4490","0.0004"
"5.4690","0.0000"
"5.4890","0.0010"
"5.5090","0.0200"
"5.5290","0.0406"
"5.5490","0.0217"
"5.5690","0.0060"
"5.5890","0.0000"
"5.6090","0.0000"
"5.6290","-0.0032"
"5.6490","0.0008"
"5.6690","0.0007"
"5.6890","0.0010"
"5.7090","-0.0019"
"5.7290","0.0011"
"5.7490","0.0005"
"5.7690","0.0021"
"5.7890","-0.0025"
"5.8090","-0.0001"
"5.8290","-0.0007"
"5.8490","0.0026"
"5.8690","-0.0005"
"5.8890","0.0002"
"5.9090","0.0005"
"5.9290","0.0017"
"5.9490","-0.0009"
"5.9690","-0.0012"
"5.9890","0.0010"
"6.0090","0.0023"
"6.0290","0.0014"
"6.0490","-0.0016"
"6.0690","-0.0001"
"6.0890","0.0000"
"6.1090","0.0012"
"6.1290","-0.0018"
"6.1490","0.0013"
"6.1690","0.0013"
"6.1890","0.0017"
"6.2090","-0.0029"
"6.2290","0.0003"
"6.2490","0.0007"
"6.2690","0.0043"
"6.2890","0.0035"
"6.3090","0.0259"
"6.3290","-0.0127"
"6.3490","-0.1153"
"6.3690","-0.2309"
"6.3890","-0.2495"
"6.4090","-0.1212"
"6.4290","-0.0186"
"6.4490","0.0111"
"6.4690","0.0064"
"6.4890","0.0020"
"6.5090","-0.0004"
"6.5290","-0.0004"
"6.5490","-0.0019"
"6.5690","0.0010"
"6.5890","0.0005"
"6.6090","0.0014"
"6.6290","-0.0029"
"6.6490","-0.0007"
"6.6690","-0.0001"
"6.6890","0.0016"
"6.7090","-0.0008"
"6.7290","0.0010"
"6.7490","-0.0001"
"6.7690","0.0009"
"6.7890","-0.0014"
"6.8090","-0.0011"
"6.8290","0.0006"
"6.8490","0.0029"
"6.8690","0.0002"
"6.8890","-0.0016"
"6.9090","0.0004"
"6.9290","0.0328"
"6.9490","0.1674"
"6.9690","0.2853"
"6.9890","0.2971"
"7.0090","0.2083"
"7.0290","0.1246"
"7.0490","0.0569"
"7.0690","-0.0026"
"7.0890","-0.0230"
"7.1090","-0.0154"
"7.1290","-0.0056"
"7.1490","0.0007"
"7.1690","0.0012"
"7.1890","0.0007"
"7.2090","-0.0020"
"7.2290","-0.0006"
"7.2490","0.0010"
"7.2690","0.0012"
"7.2890","0.0002"
"7.3090","-0.0016"
"7.3290","0.0001"
"7.3490","0.0001"
"7.3690","0.0014"
"7.3890","-0.0014"
"7.4090","0.0009"
"7.4290","0.0000"
"7.4490","0.0007"
"7.4690","-0.0025"
"7.4890","0.0004"
"7.5090","-0.0006"
"7.5290","0.0015"
"7.5490","-0.0010"
"7.5690","0.0004"
"7.5890","0.0003"
"7.6090","0.0015"
"7.6290","-0.0010"
"7.6490","-0.0003"
"7.6690","-0.0015"
"7.6890","-0.0009"
"7.7090","-0.0004"
"7.7290","-0.0015"
"7.7490","-0.0017"
"7.7690","-0.0034"
"7.7890","-0.0020"
"7.8090","-0.0012"
"7.8290","0.0043"
"7.8490","0.0215"
"7.8690","0.0450"
"7.8890","0.0565"
"7.9090","0.0513"
"7.9290","0.0349"
"7.9490","0.0184"
"7.9690","0.0030"
"7.9890","-0.0004"
"8.0090","-0.0009"
"8.0290","0.0003"
"8.0490","-0.0019"
"8.0690","0.0001"
"8.0890","0.0051"
"8.1090","0.0062"
"8.1290","0.0118"
"8.1490","0.0484"
"8.1690","0.1008"
"8.1890","0.1114"
"8.2090","0.0696"
"8.2290","0.0267"
"8.2490","0.0208"
"8.2690","0.0343"
"8.2890","0.0552"
"8.3090","0.0606"
"8.3290","0.0534"
"8.3490","0.0503"
"8.3690","0.0651"
"8.3890","0.0957"
"8.4090","0.1451"
"8.4290","0.1811"
"8.4490","0.1724"
"8.4690","0.1267"
"8.4890","0.0976"
"8.5090","0.1109"
"8.5290","0.1698"
"8.5490","0.2726"
"8.5690","0.3877"
"8.5890","0.4783"
"8.6090","0.5525"
"8.6290","0.6547"
"8.6490","0.7901"
"8.6690","0.9545"
"8.6880","1.2154"
"8.7000","1.4706"
"8.7100","1.7264"
"8.7200","1.9948"
"8.7310","2.2459"
"8.7510","2.4374"
"8.7710","2.3896"
"8.7910","2.4271"
"8.8110","2.6548"
"8.8310","2.7346"
"8.8460","2.4778"
"8.8550","2.1947"
"8.8620","1.9265"
"8.8680","1.6744"
"8.8740","1.4125"
"8.8800","1.1513"
"8.8860","0.8990"
"8.8930","0.6266"
"8.9010","0.3592"
"8.9110","0.1076"
"8.9310","-0.1104"
"8.9510","-0.0801"
"8.9710","-0.0298"
"8.9910","-0.0050"
"9.0110","0.0003"
"9.0310","0.0015"
"9.0510","-0.0005"
"9.0710","0.0001"
"9.0910","0.0014"
"9.1110","0.0019"
"9.1310","-0.0006"
"9.1510","-0.0011"
"9.1710","0.0013"
"9.1910","0.0019"
"9.2110","0.0012"
"9.2310","-0.0018"
"9.2510","0.0006"
"9.2710","0.0003"
"9.2910","0.0006"
"9.3110","-0.0015"
"9.3310","0.0009"
"9.3510","0.0006"
"9.3710","0.0009"
"9.3910","-0.0019"
"9.4110","0.0000"
"9.4310","0.0015"
"9.4510","0.0017"
"9.4710","-0.0005"
"9.4910","-0.0006"
"9.5110","0.0012"
"9.5310","0.0006"
"9.5510","-0.0001"
"9.5710","-0.0006"
"9.5910","0.0013"
"9.6110","0.0000"
"9.6310","0.0004"
"9.6510","-0.0011"
"9.6710","0.0630"
"9.6890","0.3258"
"9.6990","0.5768"
"9.7080","0.8382"
"9.7170","1.1017"
"9.7270","1.3708"
"9.7380","1.6217"
"9.7520","1.8897"
"9.7660","2.1584"
"9.7780","2.4223"
"9.7900","2.6886"
"9.8050","2.9515"
"9.8250","3.0861"
"9.8450","3.0406"
"9.8650","2.8561"
"9.8770","2.5854"
"9.8850","2.3242"
"9.8920","2.0475"
