Time,Force
(s),(N)
"0.0000","0.0003"
"0.0200","0.0006"
"0.0400","-0.0012"
"0.0600","0.0008"
"0.0800","0.0002"
"0.1000","-0.0001"
"0.1200","-0.0012"
"0.1400","0.0009"
"0.1600","0.0011"
"0.1800","-0.0004"
"0.2000","-0.0012"
"0.2200","-0.0011"
"0.2400","0.0006"
"0.2600","0.0000"
"0.2800","0.0000"
"0.3000","-0.0005"
"0.3200","0.0012"
"0.3400","-0.0007"
"0.3600","-0.0008"
"0.3800","-0.0016"
"0.4000","0.0013"
"0.4200","0.0004"
"0.4400","-0.0003"
"0.4600","-0.0014"
"0.4800","0.0008"
"0.5000","0.0006"
"0.5200","0.0001"
"0.5400","-0.0017"
"0.5600","-0.0001"
"0.5800","0.0011"
"0.6000","0.0001"
"0.6200","-0.0007"
"0.6400","-0.0010"
"0.6600","0.0011"
"0.6800","-0.0007"
"0.7000","-0.0004"
"0.7200","0.0001"
"0.7400","0.0022"
"0.7600","-0.0003"
"0.7800","-0.0005"
"0.8000","-0.0006"
"0.8200","0.0016"
"0.8400","0.0001"
"0.8600","-0.0001"
"0.8800","-0.0018"
"0.9000","0.0010"
"0.9200","0.0009"
"0.9400","-0.0012"
"0.9600","-0.0023"
"0.9800","0.0008"
"1.0000","0.0013"
"1.0200","-0.0006"
"1.0400","-0.0005"
"1.0600","0.0006"
"1.0800","0.0016"
"1.1000","-0.0005"
"1.1200","-0.0012"
"1.1400","-0.0001"
"1.1600","0.0016"
"1.1800","-0.0014"
"1.2000","-0.0012"
"1.2200","-0.0010"
"1.2400","0.0023"
"1.2600","0.0004"
"1.2800","-0.0003"
"1.3000","-0.0022"
"1.3200","0.0011"
"1.3400","-0.0003"
"1.3600","-0.0002"
"1.3800","-0.0011"
"1.4000","0.0021"
"1.4200","0.0006"
"1.4400","-0.0005"
"1.4600","-0.0025"
"1.4800","0.0005"
"1.5000","0.0015"
"1.5200","0.0003"
"1.5400","-0.0005"
"1.5600","0.0009"
"1.5800","0.0013"
"1.6000","-0.0005"
"1.6200","-0.0014"
"1.6400","-0.0003"
"1.6600","0.0019"
"1.6800","0.0005"
"1.7000","-0.0007"
"1.7200","-0.0004"
"1.7400","0.0014"
"1.7600","-0.0001"
"1.7800","-0.0003"
"1.8000","-0.0005"
"1.8200","0.0021"
"1.8400","0.0013"
"1.8600","-0.0013"
"1.8800","-0.0023"
"1.9000","0.0004"
"1.9200","0.0017"
"1.9400","-0.0004"
"1.9600","-0.0004"
"1.9800","0.0001"
"2.0000","0.0012"
"2.0200","-0.0018"
"2.0400","-0.0016"
"2.0600","0.0001"
"2.0800","0.0024"
"2.1000","0.0003"
"2.1200","0.0014"
"2.1400","-0.0011"
"2.1600","0.0013"
"2.1800","-0.0010"
"2.2000","-0.0003"
"2.2200","-0.0009"
"2.2400","0.0017"
"2.2600","-0.0008"
"2.2800","-0.0019"
"2.3000","-0.0022"
"2.3200","0.0011"
"2.3400","0.0018"
"2.3600","-0.0008"
"2.3800","-0.0007"
"2.4000","-0.0001"
"2.4200","0.0008"
"2.4400","-0.0019"
"2.4600","-0.0004"
"2.4800","0.0000"
"2.5000","0.0028"
"2.5200","-0.0013"
"2.5400","-0.0016"
"2.5600","-0.0002"
"2.5800","0.0027"
"2.6000","-0.0001"
"2.6200","-0.0005"
"2.6400","-0.0014"
"2.6600","0.0015"
"2.6800","-0.0001"
"2.7000","-0.0008"
"2.7200","-0.0005"
"2.7400","0.0015"
"2.7600","0.0004"
"2.7800","-0.0015"
"2.8000","-0.0015"
"2.8200","-0.0002"
"2.8400","0.0010"
"2.8600","-0.0013"
"2.8800","-0.0007"
"2.9000","-0.0004"
"2.9200","0.0019"
"2.9400","-0.0016"
"2.9600","-0.0007"
"2.9800","-0.0007"
"3.0000","0.0022"
"3.0200","-0.0010"
"3.0400","-0.0005"
"3.0600","-0.0005"
"3.0800","0.0021"
"3.1000","-0.0012"
"3.1200","-0.0012"
"3.1400","-0.0016"
"3.1600","0.0016"
"3.1800","-0.0002"
"3.2000","0.0006"
"3.2200","0.0154"
"3.2400","0.0404"
"3.2600","0.0715"
"3.2800","0.1061"
"3.3000","0.1213"
"3.3200","0.0926"
"3.3400","0.0355"
"3.3600","0.0013"
"3.3800","-0.0061"
"3.4000","-0.0027"
"3.4200","0.0012"
"3.4400","0.0005"
"3.4600","-0.0007"
"3.4800","-0.0004"
"3.5000","0.0013"
"3.5200","0.0007"
"3.5400","-0.0013"
"3.5600","-0.0009"
"3.5800","0.0008"
"3.6000","-0.0002"
"3.6200","-0.0020"
"3.6400","-0.0007"
"3.6600","0.0006"
"3.6800","0.0010"
"3.7000","-0.0025"
"3.7200","-0.0016"
"3.7400","0.0006"
"3.7600","0.0016"
"3.7800","-0.0018"
"3.8000","-0.0015"
"3.8200","-0.0005"
"3.8400","0.0019"
"3.8600","-0.0015"
"3.8800","-0.0017"
"3.9000","-0.0010"
"3.9200","0.0015"
"3.9400","-0.0013"
"3.9600","-0.0013"
"3.9800","-0.0012"
"4.0000","0.0006"
"4.0200","-0.0005"
"4.0400","-0.0008"
"4.0600","-0.0004"
"4.0800","0.0013"
"4.1000","0.0004"
"4.1200","-0.0011"
"4.1400","-0.0002"
"4.1600","0.0015"
"4.1800","0.0015"
"4.2000","-0.0015"
"4.2200","-0.0023"
"4.2400","-0.0006"
"4.2600","0.0020"
"4.2800","-0.0002"
"4.3000","-0.0015"
"4.3200","-0.0004"
"4.3400","0.0009"
"4.3600","-0.0005"
"4.3800","-0.0014"
"4.4000","-0.0015"
"4.4200","0.0011"
"4.4400","-0.0002"
"4.4600","-0.0018"
"4.4800","-0.0001"
"4.5000","0.0016"
"4.5200","0.0004"
"4.5400","-0.0021"
"4.5600","-0.0010"
"4.5800","0.0013"
"4.6000","0.0016"
"4.6200","-0.0013"
"4.6400","-0.0008"
"4.6600","-0.0002"
"4.6800","0.0007"
"4.7000","-0.0015"
"4.7200","-0.0011"
"4.7400","-0.0002"
"4.7600","0.0010"
"4.7800","-0.0010"
"4.8000","-0.0013"
"4.8200","-0.0001"
"4.8400","0.0016"
"4.8600","0.0000"
"4.8800","-0.0018"
"4.9000","-0.0015"
"4.9200","0.0006"
"4.9400","0.0003"
"4.9600","-0.0016"
"4.9800","-0.0012"
"5.0000","0.0006"
"5.0200","0.0011"
"5.0400","-0.0014"
"5.0600","0.0001"
"5.0800","0.0081"
"5.1000","0.0256"
"5.1200","0.0527"
"5.1400","0.1022"
"5.1600","0.1737"
"5.1800","0.2438"
"5.2000","0.2609"
"5.2200","0.2363"
"5.2400","0.2084"
"5.2600","0.2169"
"5.2800","0.2716"
"5.3000","0.3680"
"5.3200","0.5168"
"5.3400","0.7510"
"5.3560","1.0114"
"5.3700","1.2811"
"5.3830","1.5450"
"5.3960","1.8154"
"5.4080","2.0820"
"5.4190","2.3488"
"5.4290","2.6149"
"5.4380","2.8759"
"5.4470","3.1470"
"5.4570","3.4080"
"5.4770","3.5093"
"5.4890","3.2542"
"5.4970","3.0016"
"5.5050","2.7253"
"5.5130","2.4607"
"5.5230","2.1870"
"5.5360","1.9339"
"5.5510","1.6780"
"5.5620","1.3968"
"5.5690","1.1420"
"5.5750","0.8784"
"5.5810","0.5895"
"5.5870","0.3061"
"5.5940","0.0232"
"5.6070","-0.2297"
"5.6270","-0.1795"
"5.6470","-0.0554"
"5.6670","0.0044"
"5.6870","0.0127"
"5.7070","0.0044"
"5.7270","-0.0005"
"5.7470","0.0005"
"5.7670","-0.0001"
"5.7870","-0.0006"
"5.8070","-0.0007"
"5.8270","0.0009"
"5.8470","0.0009"
"5.8670","-0.0008"
"5.8870","-0.0011"
"5.9070","0.0004"
"5.9270","0.0019"
"5.9470","-0.0002"
"5.9670","-0.0012"
"5.9870","0.0002"
"6.0070","0.0021"
"6.0270","0.0002"
"6.0470","-0.0023"
"6.0670","-0.0005"
"6.0870","0.0017"
"6.1070","0.0022"
"6.1270","-0.0020"
"6.1470","-0.0008"
"6.1670","-0.0005"
"6.1870","0.0016"
"6.2070","-0.0010"
"6.2270","-0.0009"
"6.2470","-0.0009"
"6.2670","0.0015"
"6.2870","-0.0010"
"6.3070","-0.0006"
"6.3270","-0.0005"
"6.3470","0.0018"
"6.3670","0.0002"
"6.3870","-0.0008"
"6.4070","0.0000"
"6.4270","0.0017"
"6.4470","-0.0003"
"6.4670","-0.0013"
"6.4870","-0.0002"
"6.5070","0.0019"
"6.5270","0.0013"
"6.5470","-0.0015"
"6.5670","-0.0007"
"6.5870","0.0042"
"6.6070","0.0299"
"6.6270","0.0567"
"6.6470","0.0723"
"6.6670","0.0658"
"6.6870","0.0413"
"6.7070","0.0118"
"6.7270","-0.0012"
"6.7470","-0.0025"
"6.7670","0.0005"
"6.7870","-0.0008"
"6.8070","-0.0008"
"6.8270","-0.0001"
"6.8470","0.0014"
"6.8670","-0.0007"
"6.8870","-0.0016"
"6.9070","-0.0004"
"6.9270","0.0013"
"6.9470","0.0001"
"6.9670","-0.0021"
"6.9870","-0.0010"
"7.0070","0.0017"
"7.0270","0.0030"
"7.0470","0.0013"
"7.0670","0.0023"
"7.0870","0.0023"
"7.1070","0.0076"
"7.1270","0.0119"
"7.1470","0.0183"
"7.1670","0.0236"
"7.1870","0.0287"
"7.2070","0.0261"
"7.2270","0.0293"
"7.2470","0.0474"
"7.2670","0.0982"
"7.2870","0.1711"
"7.3070","0.2483"
"7.3270","0.3260"
"7.3470","0.4323"
"7.3670","0.5814"
"7.3870","0.7921"
"7.4050","1.0563"
"7.4190","1.3211"
"7.4300","1.5724"
"7.4400","1.8241"
"7.4500","2.0781"
"7.4610","2.3396"
"7.4730","2.5908"
"7.4860","2.8570"
"7.4970","3.1199"
"7.5060","3.3810"
"7.5140","3.6349"
"7.5230","3.9144"
"7.5330","4.1708"
"7.5530","4.3288"
"7.5660","4.0565"
"7.5720","3.8059"
"7.5770","3.5356"
"7.5810","3.2812"
"7.5850","2.9961"
"7.5890","2.6847"
"7.5930","2.3516"
"7.5960","2.0910"
"7.5990","1.8244"
"7.6020","1.5552"
"7.6050","1.2871"
"7.6080","1.0244"
"7.6110","0.7724"
"7.6150","0.4636"
"7.6190","0.1964"
"7.6240","-0.0553"
"7.6370","-0.3090"
"7.6570","-0.2140"
"7.6770","-0.0589"
"7.6970","0.0073"
"7.7170","0.0112"
"7.7370","0.0060"
"7.7570","0.0011"
"7.7770","0.0014"
"7.7970","-0.0024"
"7.8170","-0.0004"
"7.8370","0.0002"
"7.8570","0.0028"
"7.8770","-0.0010"
"7.8970","-0.0007"
"7.9170","-0.0007"
"7.9370","0.0013"
"7.9570","0.0001"
"7.9770","-0.0004"
"7.9970","0.0005"
"8.0170","0.0016"
"8.0370","0.0001"
"8.0570","-0.0019"
"8.0770","-0.0006"
"8.0970","0.0005"
"8.1170","0.0013"
"8.1370","-0.0019"
"8.1570","-0.0011"
"8.1770","0.0004"
"8.1970","0.0020"
"8.2170","-0.0016"
"8.2370","-0.0005"
"8.2570","0.0005"
"8.2770","0.0017"
"8.2970","-0.0009"
"8.3170","-0.0015"
"8.3370","-0.0005"
"8.3570","0.0008"
"8.3770","-0.0002"
"8.3970","-0.0007"
"8.4170","0.0119"
"8.4370","0.0735"
"8.4570","0.1518"
"8.4770","0.1774"
"8.4970","0.1338"
"8.5170","0.0686"
"8.5370","0.0441"
"8.5570","0.0147"
"8.5770","0.0018"
"8.5970","-0.0017"
"8.6170","0.0000"
"8.6370","-0.0031"
"8.6570","0.0000"
"8.6770","0.0002"
"8.6970","0.0021"
"8.7170","-0.0019"
"8.7370","-0.0008"
"8.7570","0.0000"
"8.7770","0.0014"
"8.7970","-0.0019"
"8.8170","-0.0010"
"8.8370","0.0003"
"8.8570","0.0020"
"8.8770","0.0000"
"8.8970","-0.0011"
"8.9170","-0.0002"
"8.9370","0.0010"
"8.9570","0.0004"
"8.9770","-0.0017"
"8.9970","0.0007"
"9.0170","0.0012"
"9.0370","0.0007"
"9.0570","-0.0024"
"9.0770","-0.0005"
"9.0970","0.0008"
"9.1170","0.0015"
"9.1370","-0.0015"
"9.1570","-0.0003"
"9.1770","-0.0004"
"9.1970","0.0008"
"9.2170","-0.0017"
"9.2370","-0.0013"
"9.2570","-0.0002"
"9.2770","0.0013"
"9.2970","-0.0005"
"9.3170","-0.0013"
"9.3370","0.0024"
"9.3570","0.0101"
"9.3770","0.0181"
"9.3970","0.0153"
"9.4170","-0.0073"
"9.4370","-0.0517"
"9.4570","-0.0851"
"9.4770","-0.0814"
"9.4970","-0.0405"
"9.5170","0.0115"
"9.5370","0.0545"
"9.5570","0.0716"
"9.5770","0.0685"
"9.5970","0.0542"
"9.6170","0.0469"
"9.6370","0.0508"
"9.6570","0.0692"
"9.6770","0.0899"
"9.6970","0.1116"
"9.7170","0.1305"
"9.7370","0.1578"
"9.7570","0.2101"
"9.7770","0.3493"
"9.7930","0.6148"
"9.8030","0.8755"
"9.8110","1.1437"
"9.8180","1.4060"
"9.8250","1.6666"
"9.8330","1.9190"
"9.8530","2.0831"
"9.8640","1.7974"
"9.8700","1.5388"
"9.8750","1.2805"
"9.8800","0.9959"
"9.8850","0.6970"
"9.8900","0.3964"
"9.8950","0.1122"
"9.9010","-0.1725"
"9.9130","-0.4259"
"9.9330","-0.2793"
"9.9530","-0.0705"
"9.9730","0.0075"
"9.9930","0.0175"
"10.0130","0.0072"
"10.0330","0.0018"
"10.0530","-0.0015"
"10.0730","-0.0008"
"10.0930","0.0001"
"10.1130","0.0008"
"10.1330","0.0010"
"10.1530","-0.0022"
"10.1730","0.0012"
"10.1930","0.0016"
"10.2130","0.0018"
"10.2330","-0.0014"
"10.2530","0.0004"
"10.2730","-0.0001"
"10.2930","0.0006"
"10.3130","-0.0017"
"10.3330","0.0000"
"10.3530","0.0042"
"10.3730","-0.0017"
"10.3930","-0.0335"
"10.4130","-0.0217"
"10.4330","-0.0057"
"10.4530","0.0019"
"10.4730","-0.0010"
"10.4930","0.0000"
"10.5130","0.0006"
"10.5330","0.0347"
"10.5530","0.0981"
"10.5730","0.1367"
"10.5930","0.1689"
"10.6130","0.2177"
"10.6330","0.1603"
"10.6530","0.0657"
"10.6730","0.0106"
"10.6930","0.0492"
"10.7130","0.0695"
"10.7330","0.0168"
"10.7530","-0.0016"
"10.7730","0.0078"
"10.7930","0.0802"
"10.8130","0.1251"
"10.8330","0.1072"
"10.8530","0.0668"
"10.8730","0.0365"
"10.8930","0.0101"
"10.9130","-0.0008"
"10.9330","-0.0003"
"10.9530","0.0077"
"10.9730","0.0682"
"10.9930","0.1651"
"11.0130","0.1919"
"11.0330","0.1615"
"11.0530","0.1656"
"11.0730","0.1671"
"11.0930","0.1148"
"11.1130","0.0557"
"11.1330","0.0457"
"11.1530","0.1066"
"11.1730","0.2290"
"11.1930","0.3260"
"11.2130","0.3169"
"11.2330","0.2313"
"11.2530","0.2173"
"11.2730","0.3540"
"11.2920","0.6058"
"11.3090","0.8653"
"11.3290","1.1144"
"11.3480","1.3673"
"11.3590","1.6222"
"11.3680","1.8892"
"11.3770","2.1674"
"11.3870","2.4365"
"11.4020","2.6973"
"11.4200","2.9610"
"11.4300","3.2238"
"11.4370","3.4812"
"11.4430","3.7356"
"11.4490","3.9936"
"11.4560","4.2552"
"11.4760","4.4165"
"11.4850","4.1578"
"11.4910","3.8904"
"11.4960","3.6221"
"11.5010","3.3227"
"11.5050","3.0674"
"11.5090","2.8037"
"11.5130","2.5348"
"11.5170","2.2634"
"11.5210","1.9913"
"11.5250","1.7204"
"11.5290","1.4522"
"11.5330","1.1888"
"11.5370","0.9323"
"11.5420","0.6247"
"11.5470","0.3400"
"11.5530","0.0504"
"11.5610","-0.2063"
"11.5810","-0.2618"
"11.6010","-0.1005"
"11.6210","-0.0085"
"11.6410","0.0114"
"11.6610","0.0084"
"11.6810","0.0033"
"11.7010","0.0013"
"11.7210","-0.0008"
"11.7410","-0.0026"
"11.7610","-0.0004"
"11.7810","0.0010"
"11.8010","0.0015"
"11.8210","-0.0017"
"11.8410","0.0005"
"11.8610","-0.0003"
"11.8810","0.0002"
"11.9010","-0.0019"
"11.9210","0.0004"
"11.9410","0.0010"
"11.9610","0.0014"
"11.9810","-0.0009"
"12.0010","-0.0003"
"12.0210","0.0009"
"12.0410","0.0008"
"12.0610","-0.0005"
"12.0810","-0.0008"
"12.1010","0.0006"
"12.1210","0.0085"
"12.1410","0.0623"
"12.1610","0.0706"
"12.1810","0.0358"
"12.2010","0.0066"
"12.2210","-0.0027"
"12.2410","-0.0041"
"12.2610","0.0007"
"12.2810","0.0003"
"12.3010","0.0009"
"12.3210","-0.0021"
"12.3410","0.0005"
"12.3610","0.0003"
"12.3810","0.0015"
"12.4010","-0.0014"
"12.4210","0.0004"
"12.4410","0.0002"
"12.4610","0.0017"
"12.4810","-0.0014"
"12.5010","-0.0004"
"12.5210","-0.0004"
"12.5410","0.0008"
"12.5610","-0.0011"
"12.5810","-0.0010"
"12.6010","0.0001"
"12.6210","0.0007"
"12.6410","-0.0001"
"12.6610","-0.0012"
"12.6810","0.0003"
"12.7010","0.0000"
"12.7210","0.0001"
"12.7410","-0.0015"
"12.7610","0.0001"
"12.7810","0.0004"
"12.8010","0.0007"
"12.8210","-0.0012"
"12.8410","0.0004"
"12.8610","0.0003"
"12.8810","0.0007"
"12.9010","-0.0016"
"12.9210","-0.0003"
"12.9410","0.0015"
"12.9610","0.0012"
"12.9810","-0.0005"
"13.0010","-0.0019"
"13.0210","0.0008"
"13.0410","0.0010"
"13.0610","0.0011"
"13.0810","-0.0010"
"13.1010","0.0011"
"13.1210","0.0005"
"13.1410","0.0012"
"13.1610","-0.0011"
"13.1810","0.0009"
"13.2010","-0.0001"
"13.2210","0.0017"
"13.2410","0.0016"
"13.2610","0.0021"
"13.2810","0.0008"
"13.3010","0.0006"
"13.3210","-0.0015"
"13.3410","-0.0003"
"13.3610","0.0219"
"13.3810","0.0370"
"13.4010","0.0185"
"13.4210","0.0021"
"13.4410","-0.0005"
"13.4610","-0.0007"
"13.4810","0.0004"
"13.5010","-0.0017"
"13.5210","0.0009"
"13.5410","-0.0006"
"13.5610","0.0002"
"13.5810","-0.0017"
"13.6010","0.0021"
"13.6210","0.0009"
"13.6410","0.0002"
"13.6610","-0.0023"
"13.6810","0.0009"
"13.7010","0.0004"
"13.7210","0.0009"
"13.7410","-0.0021"
"13.7610","0.0004"
"13.7810","0.0003"
"13.8010","0.0009"
"13.8210","-0.0011"
"13.8410","-0.0001"
"13.8610","0.0006"
"13.8810","0.0012"
"13.9010","-0.0004"
"13.9210","-0.0005"
"13.9410","0.0026"
"13.9610","0.0021"
"13.9810","0.0007"
"14.0010","-0.0017"
"14.0210","0.0005"
"14.0410","-0.0004"
"14.0610","0.0000"
"14.0810","-0.0018"
"14.1010","0.0009"
"14.1210","0.0006"
"14.1410","0.0001"
"14.1610","-0.0005"
"14.1810","0.0042"
"14.2010","0.0102"
"14.2210","0.0240"
"14.2410","0.0508"
"14.2610","0.0946"
"14.2810","0.1550"
