Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","-0.2911"
"0.0200","0.0000","1.3611"
"0.0400","0.0001","0.2027"
"0.0600","0.0003","-1.2738"
"0.0800","0.0006","0.8279"
"0.1000","0.0011","-0.0052"
"0.1200","0.0013","1.3446"
"0.1400","0.0016","-2.0958"
"0.1600","0.0016","1.1504"
"0.1800","0.0019","-1.4122"
"0.2000","0.0028","3.1243"
"0.2200","0.0044","-1.6821"
"0.2400","0.0061","1.5734"
"0.2600","0.0077","-1.3767"
"0.2800","0.0093","2.1736"
"0.3000","0.0107","-1.0484"
"0.3200","0.0119","0.4083"
"0.3400","0.0129","-0.8488"
"0.3600","0.0140","1.3707"
"0.3800","0.0150","0.1954"
"0.4000","0.0160","-0.5540"
"0.4200","0.0171","0.0921"
"0.4400","0.0181","-0.4856"
"0.4600","0.0192","0.9352"
"0.4800","0.0202","-1.2753"
"0.5000","0.0212","2.1451"
"0.5200","0.0221","-0.1457"
"0.5400","0.0231","2.2846"
"0.5600","0.0241","-2.3270"
"0.5800","0.0251","1.4763"
"0.6000","0.0261","-1.3111"
"0.6200","0.0271","2.2477"
"0.6400","0.0281","-1.4118"
"0.6600","0.0291","1.1334"
"0.6800","0.0300","-1.3588"
"0.7000","0.0310","0.8232"
"0.7200","0.0319","-0.2959"
"0.7400","0.0329","0.6008"
"0.7600","0.0340","0.3634"
"0.7800","0.0350","0.3660"
"0.8000","0.0360","1.0511"
"0.8200","0.0370","-1.2588"
"0.8400","0.0380","0.8011"
"0.8600","0.0390","-0.4707"
"0.8800","0.0400","2.6095"
"0.9000","0.0410","-1.0000"
"0.9200","0.0420","1.6936"
"0.9400","0.0429","-0.4905"
"0.9600","0.0440","2.7686"
"0.9800","0.0451","-1.2998"
"1.0000","0.0461","0.7144"
"1.0200","0.0472","-0.0121"
"1.0400","0.0481","1.9591"
"1.0600","0.0491","0.5297"
"1.0800","0.0501","-0.5822"
"1.1000","0.0511","0.3421"
"1.1200","0.0520","0.6792"
"1.1400","0.0530","1.6996"
"1.1600","0.0541","-1.6399"
