Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","4.5089"
"0.0200","0.0001","4.0489"
"0.0400","0.0003","6.0850"
"0.0600","0.0009","3.3883"
"0.0800","0.0007","6.0128"
"0.1000","0.0008","3.7666"
"0.1200","0.0010","6.2310"
"0.1400","0.0018","2.8248"
"0.1600","0.0036","5.4346"
"0.1800","0.0054","3.7314"
"0.2000","0.0069","6.6581"
"0.2200","0.0082","3.6803"
"0.2400","0.0094","4.4220"
"0.2600","0.0105","4.2288"
"0.2800","0.0116","6.3194"
"0.3000","0.0127","4.7604"
"0.3200","0.0138","2.7279"
"0.3400","0.0149","4.8275"
"0.3600","0.0160","4.7726"
"0.3800","0.0170","5.8562"
"0.4000","0.0179","2.1221"
"0.4200","0.0189","5.6332"
"0.4400","0.0198","3.6041"
"0.4600","0.0208","6.1124"
"0.4800","0.0219","2.5918"
"0.5000","0.0230","5.5314"
"0.5200","0.0241","4.6481"
"0.5400","0.0251","6.5439"
"0.5600","0.0261","2.6505"
"0.5800","0.0270","4.2476"
"0.6000","0.0280","3.8132"
"0.6200","0.0290","5.0093"
"0.6400","0.0300","4.7102"
"0.6600","0.0310","3.5136"
"0.6800","0.0320","4.5889"
"0.7000","0.0330","4.4057"
"0.7200","0.0340","6.1903"
"0.7400","0.0349","3.8284"
"0.7600","0.0359","5.4134"
"0.7800","0.0369","3.8614"
"0.8000","0.0379","6.0535"
"0.8200","0.0390","3.0878"
"0.8400","0.0400","4.6983"
"0.8600","0.0410","4.6642"
"0.8800","0.0420","6.0837"
"0.9000","0.0430","3.9070"
"0.9200","0.0440","3.8929"
"0.9400","0.0450","5.0388"
"0.9600","0.0459","5.8952"
"0.9800","0.0469","5.8129"
"1.0000","0.0479","3.7918"
"1.0200","0.0490","6.0084"
"1.0400","0.0500","4.6673"
"1.0600","0.0510","6.8897"
"1.0800","0.0520","3.5104"
"1.1000","0.0530","6.0265"
"1.1200","0.0539","3.6843"
"1.1400","0.0549","6.5439"
"1.1600","0.0559","2.6343"
"1.1800","0.0569","4.4856"
"1.2000","0.0580","4.6905"
"1.2200","0.0591","6.8006"
"1.2400","0.0601","3.7361"
"1.2600","0.0612","3.7497"
"1.2800","0.0621","4.5722"
"1.3000","0.0631","5.8188"
"1.3200","0.0640","5.5346"
"1.3400","0.0650","4.1634"
"1.3600","0.0660","5.5478"
"1.3800","0.0671","4.8571"
"1.4000","0.0681","6.9318"
"1.4200","0.0691","3.1334"
"1.4400","0.0701","5.4223"
"1.4600","0.0711","4.3725"
"1.4800","0.0720","6.1541"
"1.5000","0.0730","2.0322"
"1.5200","0.0740","4.7007"
"1.5400","0.0751","4.0625"
"1.5600","0.0761","5.4368"
"1.5800","0.0771","3.3723"
"1.6000","0.0780","5.3480"
"1.6200","0.0790","6.4286"
"1.6400","0.0800","4.9406"
"1.6600","0.0809","5.3151"
"1.6800","0.0819","4.0952"
"1.7000","0.0829","5.4088"
"1.7200","0.0840","3.2400"
"1.7400","0.0850","6.8331"
"1.7600","0.0860","4.5120"
"1.7800","0.0870","6.1257"
"1.8000","0.0880","4.4438"
"1.8200","0.0890","6.4489"
"1.8400","0.0900","3.2352"
"1.8600","0.0909","5.4597"
"1.8800","0.0919","3.8723"
"1.9000","0.0929","6.3482"
"1.9200","0.0940","7.2144"
"1.9400","0.0950","3.4082"
"1.9600","0.0960","3.0793"
"1.9800","0.0971","6.1292"
"2.0000","0.0981","7.0685"
"2.0200","0.0991","2.6038"
"2.0400","0.1001","5.9728"
"2.0600","0.1011","5.5912"
"2.0800","0.1021","8.0530"
"2.1000","0.1031","2.6027"
"2.1200","0.1041","5.2932"
"2.1400","0.1051","5.2022"
"2.1600","0.1061","7.6389"
"2.1800","0.1071","3.0627"
"2.2000","0.1080","5.7053"
"2.2200","0.1090","6.0759"
"2.2400","0.1100","5.1193"
"2.2600","0.1110","4.6232"
"2.2800","0.1120","5.2950"
"2.3000","0.1130","6.0390"
"2.3200","0.1140","5.0445"
"2.3400","0.1151","6.4272"
"2.3600","0.1160","2.4359"
"2.3800","0.1169","5.0724"
"2.4000","0.1179","3.5545"
"2.4200","0.1189","7.7728"
"2.4400","0.1200","4.5557"
"2.4600","0.1210","6.6152"
"2.4800","0.1220","3.4629"
"2.5000","0.1230","8.3619"
"2.5200","0.1240","4.2215"
"2.5400","0.1250","4.7348"
"2.5600","0.1260","3.9583"
"2.5800","0.1270","7.3188"
"2.6000","0.1279","6.2968"
"2.6200","0.1289","4.4391"
"2.6400","0.1300","5.1539"
"2.6600","0.1310","4.9767"
"2.6800","0.1321","6.6743"
"2.7000","0.1331","2.6036"
"2.7200","0.1341","6.7543"
"2.7400","0.1351","6.0754"
