Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","0.5086"
"0.0200","0.0001","0.8809"
"0.0400","0.0001","0.7947"
"0.0600","0.0002","-0.5099"
"0.0800","0.0006","0.5535"
"0.1000","0.0007","0.6217"
"0.1200","0.0008","0.1188"
"0.1400","0.0009","-0.2198"
"0.1600","0.0012","0.7774"
"0.1800","0.0020","0.9967"
"0.2000","0.0040","0.5851"
"0.2200","0.0059","-0.7047"
"0.2400","0.0075","0.3535"
"0.2600","0.0089","1.3531"
"0.2800","0.0102","-0.5544"
"0.3000","0.0114","-0.4628"
"0.3200","0.0124","-0.0632"
"0.3400","0.0134","0.3325"
"0.3600","0.0145","-0.5553"
"0.3800","0.0155","-0.1991"
"0.4000","0.0166","-0.0525"
"0.4200","0.0176","0.4503"
"0.4400","0.0185","0.0035"
"0.4600","0.0195","0.9472"
"0.4800","0.0205","1.0788"
"0.5000","0.0215","-0.2153"
"0.5200","0.0225","-0.9877"
"0.5400","0.0236","0.7239"
"0.5600","0.0246","1.3103"
"0.5800","0.0256","0.1109"
"0.6000","0.0266","-0.4474"
"0.6200","0.0275","0.2021"
"0.6400","0.0285","1.3806"
"0.6600","0.0295","0.0464"
"0.6800","0.0305","-0.6089"
"0.7000","0.0316","-0.1512"
"0.7200","0.0326","0.8069"
"0.7400","0.0336","-0.4139"
"0.7600","0.0346","-0.2635"
"0.7800","0.0356","0.0709"
"0.8000","0.0365","-0.0908"
"0.8200","0.0375","-1.4085"
"0.8400","0.0384","0.1189"
"0.8600","0.0394","1.1523"
"0.8800","0.0405","0.8001"
"0.9000","0.0416","0.1167"
"0.9200","0.0426","0.4398"
"0.9400","0.0436","0.8137"
"0.9600","0.0445","0.2087"
"0.9800","0.0455","-0.3600"
"1.0000","0.0466","0.3807"
"1.0200","0.0476","0.8295"
"1.0400","0.0485","0.5675"
"1.0600","0.0495","-0.3247"
"1.0800","0.0506","0.2035"
"1.1000","0.0517","0.5546"
"1.1200","0.0527","0.0123"
"1.1400","0.0537","0.0672"
"1.1600","0.0547","0.3413"
"1.1800","0.0557","0.7288"
"1.2000","0.0566","-0.5287"
"1.2200","0.0576","0.3317"
"1.2400","0.0586","0.4761"
"1.2600","0.0596","0.8958"
"1.2800","0.0607","-0.0957"
"1.3000","0.0617","0.2720"
"1.3200","0.0626","0.4199"
"1.3400","0.0636","1.1460"
"1.3600","0.0646","0.0641"
"1.3800","0.0656","0.5358"
"1.4000","0.0666","0.3671"
"1.4200","0.0676","0.7923"
"1.4400","0.0687","-0.2569"
"1.4600","0.0696","0.2618"
"1.4800","0.0706","0.3280"
"1.5000","0.0716","0.7734"
"1.5200","0.0726","-0.8988"
"1.5400","0.0735","0.5288"
"1.5600","0.0745","0.8883"
"1.5800","0.0755","0.6484"
"1.6000","0.0766","-0.4607"
"1.6200","0.0776","0.4202"
"1.6400","0.0786","0.6705"
"1.6600","0.0796","0.4926"
"1.6800","0.0807","-0.2482"
"1.7000","0.0817","0.6663"
"1.7200","0.0827","0.6270"
"1.7400","0.0837","0.0540"
"1.7600","0.0846","0.2762"
"1.7800","0.0856","0.9548"
"1.8000","0.0867","0.7402"
"1.8200","0.0878","0.3192"
"1.8400","0.0888","0.1705"
"1.8600","0.0897","0.1586"
"1.8800","0.0907","0.4512"
"1.9000","0.0917","-0.2843"
"1.9200","0.0927","-0.2767"
"1.9400","0.0937","0.4698"
"1.9600","0.0947","1.2671"
"1.9800","0.0957","0.4942"
"2.0000","0.0967","0.4078"
"2.0200","0.0977","0.1124"
"2.0400","0.0986","0.4853"
"2.0600","0.0995","-0.2316"
"2.0800","0.1005","0.2738"
"2.1000","0.1015","1.1585"
"2.1200","0.1025","0.9170"
"2.1400","0.1036","-0.2038"
"2.1600","0.1046","0.2287"
"2.1800","0.1056","0.7839"
"2.2000","0.1065","0.3751"
"2.2200","0.1075","-0.1300"
"2.2400","0.1085","0.9686"
"2.2600","0.1094","1.6905"
"2.2800","0.1104","0.9433"
"2.3000","0.1115","-0.2697"
"2.3200","0.1125","0.4646"
"2.3400","0.1136","1.0640"
"2.3600","0.1146","0.3400"
"2.3800","0.1157","-0.9577"
"2.4000","0.1166","0.9486"
"2.4200","0.1176","1.6359"
"2.4400","0.1185","0.3241"
"2.4600","0.1195","-0.0213"
"2.4800","0.1205","0.9706"
"2.5000","0.1215","1.0341"
"2.5200","0.1226","-0.4201"
"2.5400","0.1237","-0.3657"
"2.5600","0.1247","1.1761"
"2.5800","0.1258","1.2811"
"2.6000","0.1267","0.5817"
"2.6200","0.1276","1.6041"
"2.6400","0.1286","1.2911"
"2.6600","0.1296","0.6055"
"2.6800","0.1307","-0.9383"
"2.7000","0.1317","0.3754"
"2.7200","0.1327","0.7624"
"2.7400","0.1337","0.5370"
"2.7600","0.1346","-0.4494"
"2.7800","0.1356","0.6849"
"2.8000","0.1366","0.9227"
"2.8200","0.1376","0.8071"
"2.8400","0.1386","0.3111"
"2.8600","0.1396","0.4446"
"2.8800","0.1406","0.5794"
"2.9000","0.1416","0.0884"
"2.9200","0.1425","0.1491"
"2.9400","0.1435","0.4465"
"2.9600","0.1444","1.8136"
"2.9800","0.1454","0.2714"
"3.0000","0.1464","0.9977"
"3.0200","0.1475","0.0517"
"3.0400","0.1485","0.8974"
"3.0600","0.1496","-0.4890"
"3.0800","0.1506","0.2084"
"3.1000","0.1516","0.2979"
"3.1200","0.1526","1.9728"
"3.1400","0.1535","0.3708"
"3.1600","0.1546","0.7604"
"3.1800","0.1555","0.5778"
"3.2000","0.1564","0.5978"
"3.2200","0.1575","-0.6446"
"3.2400","0.1586","0.1911"
"3.2600","0.1597","0.8846"
"3.2800","0.1607","2.0492"
"3.3000","0.1617","1.3944"
"3.3200","0.1627","0.6397"
"3.3400","0.1637","1.3080"
"3.3600","0.1646","0.2555"
"3.3800","0.1657","-0.0789"
"3.4000","0.1667","-0.0967"
"3.4200","0.1677","2.2406"
"3.4400","0.1687","1.1090"
"3.4600","0.1697","1.5249"
"3.4800","0.1706","0.0746"
"3.5000","0.1716","0.3054"
"3.5200","0.1726","-0.4172"
"3.5400","0.1736","-0.1522"
"3.5600","0.1746","1.2389"
"3.5800","0.1756","2.1364"
"3.6000","0.1766","0.4461"
"3.6200","0.1776","0.7155"
"3.6400","0.1786","1.0981"
"3.6600","0.1795","0.5904"
"3.6800","0.1804","-0.2264"
"3.7000","0.1814","-0.1975"
"3.7200","0.1824","1.0609"
"3.7400","0.1834","1.5328"
"3.7600","0.1845","0.7594"
"3.7800","0.1855","-0.1580"
"3.8000","0.1866","0.9301"
"3.8200","0.1876","0.4080"
"3.8400","0.1886","-0.1971"
"3.8600","0.1896","0.6119"
"3.8800","0.1905","1.7246"
"3.9000","0.1914","1.2866"
"3.9200","0.1924","0.0566"
"3.9400","0.1936","-0.4922"
"3.9600","0.1947","0.5806"
"3.9800","0.1957","1.1813"
"4.0000","0.1967","0.5287"
"4.0200","0.1977","0.9803"
"4.0400","0.1986","1.2575"
"4.0600","0.1997","0.8608"
