Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","0.0218"
"0.0200","0.0001","0.6074"
"0.0400","0.0001","-0.7634"
"0.0600","0.0003","-0.1377"
"0.0800","0.0008","-0.2684"
"0.1000","0.0007","-0.3451"
"0.1200","0.0008","-0.0615"
"0.1400","0.0009","-0.2394"
"0.1600","0.0016","0.3111"
"0.1800","0.0034","1.0818"
"0.2000","0.0052","0.1710"
"0.2200","0.0069","0.0735"
"0.2400","0.0084","-0.5564"
"0.2600","0.0097","0.5646"
"0.2800","0.0107","0.4394"
"0.3000","0.0118","-0.1423"
"0.3200","0.0128","-1.1399"
"0.3400","0.0138","-0.6632"
"0.3600","0.0149","-0.2720"
"0.3800","0.0160","0.9597"
"0.4000","0.0171","0.1730"
"0.4200","0.0182","-0.1530"
"0.4400","0.0192","-0.3055"
"0.4600","0.0202","0.4294"
"0.4800","0.0212","-0.3563"
"0.5000","0.0222","-0.0327"
"0.5200","0.0232","-0.2619"
"0.5400","0.0243","0.2581"
"0.5600","0.0253","0.1985"
"0.5800","0.0263","-0.1563"
"0.6000","0.0272","0.2277"
"0.6200","0.0282","0.2057"
"0.6400","0.0291","0.2595"
"0.6600","0.0301","0.2187"
"0.6800","0.0311","0.4387"
"0.7000","0.0321","-0.2781"
"0.7200","0.0332","-0.1682"
"0.7400","0.0343","-0.1207"
"0.7600","0.0352","-0.2948"
"0.7800","0.0362","-0.4233"
"0.8000","0.0372","0.2261"
"0.8200","0.0381","0.6819"
"0.8400","0.0391","0.6452"
"0.8600","0.0400","-0.5686"
"0.8800","0.0410","-0.3860"
"0.9000","0.0420","-0.4223"
"0.9200","0.0430","0.2409"
"0.9400","0.0441","-0.2162"
"0.9600","0.0451","-0.6082"
"0.9800","0.0461","0.0303"
"1.0000","0.0470","0.1640"
"1.0200","0.0480","0.0911"
"1.0400","0.0489","-0.3531"
"1.0600","0.0499","0.0627"
"1.0800","0.0510","-0.0349"
"1.1000","0.0522","1.2309"
"1.1200","0.0532","0.2048"
"1.1400","0.0543","-0.2429"
"1.1600","0.0552","-0.2323"
"1.1800","0.0562","0.6509"
"1.2000","0.0571","0.2835"
"1.2200","0.0581","0.8952"
"1.2400","0.0591","-0.2918"
"1.2600","0.0602","0.5379"
"1.2800","0.0612","0.4306"
"1.3000","0.0622","0.7903"
"1.3200","0.0632","0.0332"
"1.3400","0.0642","0.3849"
"1.3600","0.0652","0.5655"
"1.3800","0.0662","0.4970"
"1.4000","0.0672","-0.0061"
"1.4200","0.0683","-0.0238"
"1.4400","0.0693","0.1721"
"1.4600","0.0703","-0.2752"
"1.4800","0.0712","-0.3109"
"1.5000","0.0722","-0.1967"
"1.5200","0.0731","0.3385"
"1.5400","0.0741","1.1705"
"1.5600","0.0751","0.5928"
"1.5800","0.0760","0.4058"
"1.6000","0.0770","-0.5823"
"1.6200","0.0780","-0.2376"
"1.6400","0.0791","0.7123"
"1.6600","0.0801","0.2732"
"1.6800","0.0811","0.0741"
"1.7000","0.0820","0.6337"
"1.7200","0.0830","-0.2250"
"1.7400","0.0839","0.1863"
"1.7600","0.0848","-0.3634"
"1.7800","0.0859","0.5671"
"1.8000","0.0870","0.0116"
"1.8200","0.0881","0.2285"
"1.8400","0.0893","0.0521"
"1.8600","0.0903","-0.0601"
"1.8800","0.0913","-0.1949"
"1.9000","0.0922","0.0924"
"1.9200","0.0931","0.5323"
"1.9400","0.0941","1.2060"
"1.9600","0.0952","0.8150"
"1.9800","0.0962","0.2005"
"2.0000","0.0972","0.4545"
"2.0200","0.0982","0.6367"
"2.0400","0.0993","0.6491"
"2.0600","0.1002","0.3001"
"2.0800","0.1012","0.8354"
"2.1000","0.1022","1.2903"
"2.1200","0.1032","0.1693"
"2.1400","0.1042","-0.3826"
"2.1600","0.1052","-0.3605"
"2.1800","0.1062","0.5104"
"2.2000","0.1072","0.2086"
"2.2200","0.1082","0.7547"
"2.2400","0.1092","-0.1871"
"2.2600","0.1102","-0.3467"
"2.2800","0.1111","-0.5269"
"2.3000","0.1121","0.5041"
"2.3200","0.1130","-0.0375"
"2.3400","0.1140","-0.1802"
"2.3600","0.1151","0.0597"
"2.3800","0.1161","1.2655"
"2.4000","0.1172","0.9668"
"2.4200","0.1181","-0.0097"
"2.4400","0.1191","-0.3770"
"2.4600","0.1200","0.8695"
"2.4800","0.1209","1.3501"
"2.5000","0.1220","0.7499"
"2.5200","0.1232","-0.1096"
"2.5400","0.1242","0.4711"
"2.5600","0.1253","1.3800"
"2.5800","0.1262","0.9994"
"2.6000","0.1272","0.3921"
"2.6200","0.1281","0.3544"
"2.6400","0.1291","1.0528"
"2.6600","0.1301","1.1041"
"2.6800","0.1311","0.7163"
"2.7000","0.1321","0.4902"
"2.7200","0.1331","-0.0592"
"2.7400","0.1341","0.0864"
"2.7600","0.1351","-0.0072"
"2.7800","0.1361","0.0671"
"2.8000","0.1371","0.0527"
"2.8200","0.1381","0.8072"
"2.8400","0.1391","0.7583"
"2.8600","0.1401","1.4857"
"2.8800","0.1411","-0.2221"
"2.9000","0.1421","0.9028"
"2.9200","0.1432","0.8989"
"2.9400","0.1442","1.8159"
"2.9600","0.1452","0.6716"
"2.9800","0.1462","0.4382"
"3.0000","0.1470","0.7593"
"3.0200","0.1480","1.4955"
"3.0400","0.1491","-0.0653"
"3.0600","0.1501","-0.9773"
"3.0800","0.1511","0.3319"
"3.1000","0.1521","0.3991"
"3.1200","0.1531","0.9952"
"3.1400","0.1541","0.4969"
"3.1600","0.1551","1.0321"
"3.1800","0.1560","0.9351"
"3.2000","0.1569","0.6433"
"3.2200","0.1580","-0.0264"
"3.2400","0.1591","0.5525"
"3.2600","0.1602","0.2982"
"3.2800","0.1613","0.6309"
"3.3000","0.1622","1.1526"
"3.3200","0.1632","1.2725"
"3.3400","0.1641","0.2945"
"3.3600","0.1651","0.2613"
"3.3800","0.1661","0.2237"
"3.4000","0.1670","1.1818"
"3.4200","0.1681","0.8156"
"3.4400","0.1691","0.9749"
"3.4600","0.1702","0.4345"
"3.4800","0.1712","0.7807"
"3.5000","0.1721","0.3560"
"3.5200","0.1730","1.0017"
"3.5400","0.1740","1.2543"
"3.5600","0.1751","1.0633"
"3.5800","0.1761","0.4912"
"3.6000","0.1771","0.5594"
"3.6200","0.1781","0.6439"
"3.6400","0.1791","1.2016"
"3.6600","0.1801","1.0262"
"3.6800","0.1811","0.1753"
"3.7000","0.1820","0.0548"
"3.7200","0.1830","1.0447"
"3.7400","0.1840","0.3385"
"3.7600","0.1851","0.5599"
"3.7800","0.1861","-0.1430"
"3.8000","0.1871","0.4417"
"3.8200","0.1881","0.8904"
"3.8400","0.1891","1.1964"
"3.8600","0.1901","0.4755"
"3.8800","0.1911","0.7409"
"3.9000","0.1921","0.2679"
"3.9200","0.1929","1.0497"
"3.9400","0.1940","1.1081"
"3.9600","0.1951","0.9465"
"3.9800","0.1962","0.0919"
"4.0000","0.1972","0.2272"
"4.0200","0.1982","0.6981"
"4.0400","0.1992","1.6529"
"4.0600","0.2002","0.8262"
"4.0800","0.2012","0.4548"
"4.1000","0.2022","0.4573"
"4.1200","0.2032","1.2852"
"4.1400","0.2042","0.8694"
"4.1600","0.2053","1.0885"
"4.1800","0.2063","0.4521"
"4.2000","0.2072","0.3770"
"4.2200","0.2082","0.8149"
"4.2400","0.2091","0.8543"
"4.2600","0.2101","1.4787"
"4.2800","0.2111","1.3285"
"4.3000","0.2121","1.6925"
"4.3200","0.2131","1.4797"
"4.3400","0.2141","0.4516"
"4.3600","0.2151","0.0941"
"4.3800","0.2161","0.6602"
"4.4000","0.2170","1.2902"
"4.4200","0.2180","0.9284"
"4.4400","0.2190","0.9234"
"4.4600","0.2200","0.7959"
"4.4800","0.2211","0.6901"
"4.5000","0.2221","0.7960"
"4.5200","0.2231","0.8403"
"4.5400","0.2241","1.4854"
"4.5600","0.2251","1.2434"
"4.5800","0.2261","0.7527"
"4.6000","0.2271","0.6522"
"4.6200","0.2281","0.2130"
"4.6400","0.2291","0.2639"
"4.6600","0.2300","0.1559"
"4.6800","0.2311","1.3558"
"4.7000","0.2322","1.3137"
"4.7200","0.2332","1.1830"
"4.7400","0.2342","0.4598"
"4.7600","0.2352","0.6993"
"4.7800","0.2362","1.2126"
"4.8000","0.2372","1.6148"
"4.8200","0.2382","0.9151"
"4.8400","0.2392","1.0928"
"4.8600","0.2403","0.2508"
"4.8800","0.2413","0.7773"
"4.9000","0.2423","0.3890"
"4.9200","0.2432","1.2077"
"4.9400","0.2441","0.7250"
"4.9600","0.2451","1.3391"
"4.9800","0.2461","0.0192"
"5.0000","0.2471","1.1572"
"5.0200","0.2481","0.2118"
"5.0400","0.2491","1.4075"
"5.0600","0.2501","0.3499"
"5.0800","0.2511","1.5032"
"5.1000","0.2520","1.0720"
"5.1200","0.2530","2.1018"
"5.1400","0.2539","0.8053"
"5.1600","0.2550","0.3554"
"5.1800","0.2560","0.1886"
"5.2000","0.2571","0.6102"
"5.2200","0.2581","0.8530"
"5.2400","0.2591","1.3417"
"5.2600","0.2601","0.4361"
"5.2800","0.2611","1.0009"
"5.3000","0.2621","0.7259"
"5.3200","0.2631","1.6387"
"5.3400","0.2641","0.8607"
"5.3600","0.2650","1.0450"
"5.3800","0.2661","1.1399"
"5.4000","0.2671","1.1630"
"5.4200","0.2682","0.9055"
"5.4400","0.2692","1.3328"
"5.4600","0.2702","0.6866"
"5.4800","0.2712","1.2151"
"5.5000","0.2722","0.7974"
"5.5200","0.2732","1.8066"
"5.5400","0.2743","0.9605"
"5.5600","0.2753","1.4908"
"5.5800","0.2763","1.0594"
"5.6000","0.2773","1.1685"
"5.6200","0.2782","1.0611"
"5.6400","0.2792","1.1735"
"5.6600","0.2801","1.9178"
"5.6800","0.2811","2.0460"
"5.7000","0.2821","1.2611"
"5.7200","0.2832","0.2946"
"5.7400","0.2842","0.3606"
"5.7600","0.2852","0.9914"
"5.7800","0.2862","1.4868"
"5.8000","0.2872","1.2096"
"5.8200","0.2882","1.3201"
"5.8400","0.2892","1.0360"
"5.8600","0.2901","1.4989"
"5.8800","0.2911","1.7684"
"5.9000","0.2920","0.8077"
"5.9200","0.2931","0.7439"
"5.9400","0.2941","0.1352"
"5.9600","0.2951","1.5985"
"5.9800","0.2961","0.8864"
"6.0000","0.2970","1.7622"
"6.0200","0.2980","0.6938"
"6.0400","0.2990","1.1341"
"6.0600","0.3000","0.8773"
"6.0800","0.3010","1.8326"
"6.1000","0.3020","1.6155"
"6.1200","0.3031","1.6300"
"6.1400","0.3042","0.7370"
"6.1600","0.3052","0.8257"
"6.1800","0.3061","1.1333"
"6.2000","0.3071","1.9414"
"6.2200","0.3082","1.8694"
"6.2400","0.3092","1.3951"
"6.2600","0.3103","1.1497"
"6.2800","0.3113","1.6293"
"6.3000","0.3122","2.1028"
"6.3200","0.3132","1.9122"
"6.3400","0.3142","1.7390"
"6.3600","0.3152","1.0910"
"6.3800","0.3161","1.2914"
"6.4000","0.3171","1.5537"
"6.4200","0.3181","1.5830"
"6.4400","0.3191","0.6649"
"6.4600","0.3201","1.7075"
"6.4800","0.3212","1.5934"
"6.5000","0.3221","2.0454"
"6.5200","0.3231","1.3858"
"6.5400","0.3241","1.5870"
"6.5600","0.3250","1.1633"
"6.5800","0.3260","1.4609"
"6.6000","0.3270","2.0751"
"6.6200","0.3281","2.0628"
"6.6400","0.3291","2.1347"
"6.6600","0.3302","1.2448"
"6.6800","0.3312","1.7638"
"6.7000","0.3322","1.3841"
"6.7200","0.3331","1.2522"
"6.7400","0.3341","0.3531"
"6.7600","0.3351","1.5408"
"6.7800","0.3361","1.8416"
"6.8000","0.3370","2.0706"
"6.8200","0.3380","1.9986"
"6.8400","0.3391","1.6833"
"6.8600","0.3401","1.5665"
"6.8800","0.3412","1.6184"
"6.9000","0.3421","1.1140"
"6.9200","0.3431","1.8488"
"6.9400","0.3441","1.3224"
"6.9600","0.3452","2.4338"
"6.9800","0.3462","1.8382"
"7.0000","0.3473","1.6141"
"7.0200","0.3483","0.9686"
"7.0400","0.3492","1.7990"
